variant_id,card_id,variant
435,bw10-99,holofoil
436,ex8-80,normal
437,pl3-70,normal
438,me2-16,normal
442,me1-78,normal
443,me1-24,normal
445,smp-SM114,normal
446,sv3pt5-92,normal
447,swsh12-202,holofoil
448,pgo-23,holofoil
449,xy3-62,normal
451,swsh6-92,holofoil
452,ecard1-157,normal
453,sv5-87,normal
454,mcd21-22,normal
455,xy6-65,normal
456,sm11-228,holofoil
458,ex8-39,normal
459,dp6-34,normal
460,sm12-186,normal
461,neo1-111,unlimited
463,swsh9-106,holofoil
464,sm75-73,holofoil
465,sv10-160,normal
466,sm6-32,normal
467,sv5-162,holofoil
469,swsh3-7,normal
472,ex5-93,holofoil
473,ex13-20,normal
474,swsh8-170,normal
475,neo2-36,1stEdition
476,bw3-10,normal
477,sv4pt5-182,holofoil
478,swsh1-156,normal
479,gym2-124,1stEdition
481,xy2-87,normal
482,ecard1-38,normal
483,ex6-18,normal
484,swsh12pt5-9,normal
485,pl1-24,normal
486,pop4-6,normal
487,xy0-37,normal
490,swshp-SWSH098,holofoil
491,pop5-11,normal
493,swsh9-94,normal
494,swsh8-163,normal
495,gym1-56,1stEdition
496,bw7-84,normal
497,sv3pt5-66,normal
498,g1-RC25,normal
501,swsh8-283,holofoil
502,mcd12-8,holofoil
503,neo4-59,1stEdition
508,ex9-18,normal
509,sm8-183,normal
510,swsh1-113,normal
511,swsh1-26,normal
512,sm2-26,normal
513,ex1-68,normal
514,xy8-39,normal
516,sv4-223,holofoil
517,sv3pt5-41,normal
519,xy10-21,holofoil
521,sv8pt5-86,normal
522,swsh12-65,holofoil
523,bw4-40,normal
524,xy3-40,normal
525,ru1-4,normal
527,dp1-121,holofoil
530,gym2-98,1stEdition
532,col1-26,normal
533,ex11-13,holofoil
534,swsh10-62,holofoil
535,neo4-59,unlimited
536,swsh6-107,normal
537,xy5-129,normal
542,dp5-30,normal
544,mcd21-12,holofoil
546,gym1-3,unlimitedHolofoil
547,neo1-15,1stEditionHolofoil
548,swsh12-3,normal
549,sv8-216,holofoil
551,sv8-107,holofoil
553,bw6-77,normal
554,bw1-46,normal
555,swsh12-129,normal
556,ecard3-47,normal
562,sm1-28,normal
563,gym2-81,1stEdition
564,ex6-47,normal
566,hgss4-17,normal
567,bw2-79,normal
568,xy9-17,normal
569,neo1-36,unlimited
571,sv6-204,holofoil
573,swsh10-66,holofoil
575,neo3-14,1stEditionHolofoil
576,sm12-208,normal
577,sv8pt5-82,holofoil
578,sv4-204,holofoil
579,pl3-97,normal
580,pl2-14,normal
581,swsh1-65,normal
583,sv3pt5-14,normal
584,sm5-89,holofoil
585,xy6-66,normal
588,me2-4,holofoil
591,sm10-210,holofoil
593,rsv10pt5-91,holofoil
595,hgss3-78,normal
596,sv3pt5-84,normal
597,sm10-150,normal
599,swsh9-10,normal
600,ex16-88,normal
602,xy9-33,normal
603,sv10-98,normal
604,neo3-23,1stEdition
605,pl4-12,holofoil
606,base3-1,unlimitedHolofoil
608,sm11-223,holofoil
609,col1-24,normal
611,zsv10pt5-40,normal
614,ex14-61,normal
615,swsh12-196,holofoil
616,sv2-14,normal
617,sv8-24,normal
618,swsh6-176,holofoil
620,xy5-83,normal
621,neo1-48,1stEdition
622,swsh45sv-SV059,holofoil
625,swsh5-29,normal
627,swsh35-77,holofoil
630,bw9-121,holofoil
632,base2-61,1stEdition
633,swsh45sv-SV074,holofoil
634,base2-20,1stEdition
635,swsh12pt5-97,holofoil
636,pgo-28,holofoil
639,dp1-22,normal
640,pop1-12,normal
641,swsh6-4,normal
643,xy7-27,holofoil
645,sv4-73,holofoil
646,sm11-211,normal
647,base5-72,1stEdition
648,sv8-248,holofoil
650,xyp-XY124,holofoil
653,ecard2-95,normal
655,sm1-4,normal
656,sv4pt5-173,holofoil
659,swsh12-151,normal
661,bw5-88,normal
664,gym2-53,1stEdition
666,swsh1-212,holofoil
667,dpp-DP22,holofoil
668,base6-7,holofoil
669,xy12-65,holofoil
670,ecard3-48,normal
672,ex3-87,normal
673,swsh8-1,normal
674,smp-SM133,holofoil
676,sm12-200,normal
679,xy11-16,normal
681,sv6-108,normal
682,swsh12pt5-139,normal
683,ex9-76,normal
684,swshp-SWSH213,holofoil
685,dp6-32,normal
687,sv3-204,holofoil
688,swshp-SWSH195,holofoil
690,ex13-75,normal
691,gym2-52,1stEdition
692,ex15-29,normal
693,me2-92,normal
695,swsh9-124,normal
697,ex10-M,holofoil
698,xy11-56,normal
699,hgss3-47,normal
700,me1-37,normal
701,sv7-36,normal
702,hgss3-69,normal
703,dp1-28,normal
704,swsh2-79,holofoil
705,xy9-59,normal
706,bw8-3,normal
708,swsh10-9,normal
709,sm1-36,normal
710,swsh5-142,holofoil
711,bw8-48,holofoil
714,bw9-35,normal
718,sv8pt5-33,holofoil
719,hgss2-35,normal
720,dp4-85,normal
721,swsh10-28,normal
723,swsh12pt5-22,holofoil
724,xy11-50,holofoil
727,sm3-21,holofoil
728,sv1-53,normal
730,sv6-45,normal
731,sm11-202,normal
734,sm6-120,holofoil
738,ex8-92,normal
741,xy2-93,normal
742,bw10-54,holofoil
743,col1-55,normal
745,pop6-14,normal
746,bp-4,normal
748,sv10-17,normal
749,sv3pt5-151,holofoil
750,sv7-149,holofoil
753,xy9-109,normal
754,g1-RC27,holofoil
755,swsh10-166,holofoil
756,xy4-70,normal
757,sv6pt5-34,normal
758,base4-4,holofoil
760,dp3-22,normal
761,base1-52,normal
762,sm11-231,holofoil
763,sm35-44,normal
764,swsh2-12,normal
765,smp-SM222,holofoil
767,swsh6-89,holofoil
768,col1-1,holofoil
770,dp6-74,normal
771,sm35-36,normal
773,base3-2,1stEditionHolofoil
775,sv5-205,holofoil
776,ex1-29,normal
778,sm4-75,normal
780,sm9-141,normal
782,sv5-183,holofoil
783,mcd21-23,normal
785,sm2-165,holofoil
790,base5-15,1stEditionHolofoil
793,neo3-20,1stEdition
794,pl1-66,normal
795,bw2-91,normal
796,swsh12-182,holofoil
798,base2-41,unlimited
799,bw10-40,normal
800,ecard3-H23,holofoil
803,sv10-235,holofoil
804,sm1-91,normal
806,me2-67,normal
807,sv9-56,holofoil
812,dp6-56,normal
813,xy7-2,normal
814,xy7-67,holofoil
815,sv1-254,holofoil
816,swshp-SWSH061,holofoil
817,sm2-127,normal
818,swsh3-105,holofoil
819,sv3-139,normal
822,swsh9-133,normal
823,hgss3-53,normal
826,pl2-98,normal
827,sv1-244,holofoil
829,bw4-27,holofoil
830,neo1-106,1stEdition
831,ex14-11,holofoil
832,pop8-17,normal
833,sv5-195,holofoil
834,sm5-157,holofoil
835,sv2-90,normal
837,ex6-57,normal
839,base4-51,normal
840,gym2-16,unlimitedHolofoil
841,sv8-221,holofoil
842,sv9-65,normal
843,pl4-20,normal
844,sv5-217,holofoil
846,sm9-52,holofoil
847,pl1-119,normal
849,sv5-45,normal
850,pgo-40,holofoil
852,sm12-15,normal
853,dp5-82,normal
854,swsh9-107,normal
855,ex9-43,normal
857,neo2-8,unlimitedHolofoil
858,ex7-18,normal
859,swsh12-80,normal
860,bw11-47,normal
862,swsh1-96,normal
863,sm2-84,normal
864,ex11-82,normal
865,swsh12-15,holofoil
866,sv6-147,normal
867,swshp-SWSH220,holofoil
868,bw6-128,holofoil
870,mcd21-17,normal
871,sm9-134,holofoil
872,swsh6-119,holofoil
874,swshp-SWSH137,holofoil
876,swsh12pt5gg-GG04,holofoil
877,dc1-17,normal
881,swsh12-170,holofoil
882,sv9-170,holofoil
883,sm8-224,holofoil
884,base5-36,unlimited
885,sv10-66,holofoil
886,swsh10-6,normal
887,xy3-83,holofoil
890,swsh12pt5-78,normal
891,swsh45sv-SV012,holofoil
895,swsh4-38,normal
896,sm1-10,normal
898,sv9-6,normal
899,sv4-81,holofoil
900,swsh1-76,holofoil
902,bw7-126,normal
905,sv2-15,holofoil
906,swsh8-246,holofoil
907,bw9-39,holofoil
909,sv10-61,normal
910,bw11-68,holofoil
911,xy1-88,normal
912,sv6-150,normal
913,pl3-39,normal
914,rsv10pt5-74,normal
915,dp3-9,holofoil
916,swsh3-60,holofoil
917,ex8-46,normal
919,swsh9-68,holofoil
922,swsh12-72,normal
923,swsh5-131,normal
926,dp4-47,normal
927,bw9-68,normal
929,sv3pt5-62,normal
931,sv1-56,normal
932,neo4-74,unlimited
933,swsh35-1,holofoil
934,bw1-15,normal
935,bw11-12,holofoil
936,sv4-210,holofoil
937,bw5-105,holofoil
938,sm10-33,normal
939,dv1-18,holofoil
941,sv7-5,normal
944,me1-106,normal
945,swsh12pt5-108,holofoil
946,sv6-79,normal
947,swsh12pt5-57,normal
952,smp-SM71,holofoil
956,swsh3-50,normal
957,ex10-37,normal
958,sm115-30,normal
959,ex1-52,normal
960,xy3-43,normal
961,xy10-4,normal
962,pl3-9,holofoil
963,sm11-182,normal
964,sm5-58,holofoil
965,ecard2-51,normal
966,dp6-95,normal
967,sm10-209,holofoil
969,rsv10pt5-38,normal
970,neo2-58,1stEdition
973,base2-58,unlimited
974,sm75-61,holofoil
976,me2-80,normal
978,sv7-121,normal
980,swsh7-114,normal
983,xy10-80,normal
984,swsh8-160,normal
986,gym1-103,1stEdition
987,dp2-45,normal
988,sv6pt5-35,normal
989,neo1-56,unlimited
991,np-20,holofoil
994,xy9-4,normal
995,xy10-82,normal
996,sm10-31,normal
997,basep-10,holofoil
998,bw6-114,normal
999,sm7-99,holofoil
1000,dp4-32,normal
1001,sv4-211,holofoil
1002,swsh5-30,normal
1003,me2-101,holofoil
1004,sv4pt5-134,holofoil
1007,swsh12-122,normal
1008,neo4-111,unlimitedHolofoil
1009,pl3-61,normal
1011,base3-28,unlimited
1012,sv10-244,holofoil
1014,ex9-97,holofoil
1016,ecard2-138,normal
1019,bw7-1,normal
1020,xy3-105,holofoil
1021,sv10-145,holofoil
1022,dp1-94,normal
1024,smp-SM235,holofoil
1027,sv4pt5-149,holofoil
1029,xy11-29,normal
1031,bw5-69,normal
1032,bw5-40,normal
1034,ex10-60,normal
1036,g1-73,normal
1038,sv9-79,holofoil
1042,xy8-87,normal
1045,sm4-83,normal
1046,bw3-80,normal
1048,sm5-97,normal
1049,sm5-63,holofoil
1050,swsh8-137,normal
1051,sv4-222,holofoil
1052,swsh2-92,holofoil
1053,sv10-12,holofoil
1055,xy4-76,normal
1056,ex6-6,holofoil
1057,sv6-184,holofoil
1058,swshp-SWSH146,holofoil
1059,bw8-91,normal
1061,sv3pt5-1,normal
1063,sm12-45,normal
1065,swsh5-147,holofoil
1066,swsh6-103,normal
1067,ex13-64,normal
1072,swsh8-25,normal
1075,bw6-85,holofoil
1076,neo3-43,1stEdition
1077,sma-SV67,holofoil
1078,sv1-31,normal
1082,sv5-25,holofoil
1084,swsh3-179,holofoil
1087,sv1-166,normal
1088,sm9-12,normal
1089,swsh9-139,normal
1090,swsh6-74,holofoil
1093,xy8-131,normal
1094,me1-74,holofoil
1095,xy12-8,normal
1098,sv4pt5-179,holofoil
1099,sv6-157,normal
1101,cel25c-73_A,holofoil
1103,sm3-73,normal
1105,rsv10pt5-55,normal
1106,cel25-24,holofoil
1107,swsh1-195,holofoil
1108,sm4-99,normal
1109,ex9-41,normal
1112,bw2-43,normal
1113,swsh1-29,normal
1114,svp-39,holofoil
1115,sv9-108,normal
1116,swsh7-107,normal
1117,swshp-SWSH267,holofoil
1119,sm5-60,normal
1120,xy11-13,normal
1122,sm9-82,holofoil
1123,swsh8-114,holofoil
1125,sm35-8,holofoil
1126,pgo-37,normal
1128,me1-96,normal
1130,bw10-82,normal
1131,gym2-41,1stEdition
1132,pop9-6,normal
1133,sv5-97,normal
1135,sm7-100,holofoil
1138,swsh4-43,holofoil
1139,swsh6-83,holofoil
1140,sm11-184,holofoil
1141,sv5-63,normal
1142,svp-6,holofoil
1143,swsh8-202,normal
1145,sv8-174,normal
1146,swshp-SWSH065,holofoil
1147,sv2-84,holofoil
1148,base1-84,normal
1149,dp4-88,normal
1150,dp5-72,normal
1152,sv8pt5-79,normal
1156,sm12-102,holofoil
1157,sm1-82,holofoil
1160,swsh4-179,holofoil
1161,xy9-34,normal
1163,sm4-77,normal
1165,base6-44,normal
1166,bw8-36,normal
1168,xy2-30,normal
1171,pl2-71,normal
1172,ex16-48,normal
1173,swsh10-204,holofoil
1174,pop8-8,normal
1177,sv1-205,holofoil
1178,sv8pt5-115,normal
1181,neo3-51,1stEdition
1185,sm10-212,holofoil
1186,sv1-14,normal
1187,swsh6-172,holofoil
1188,sv4-120,holofoil
1189,swsh1-161,normal
1190,bw8-123,normal
1191,sv6-105,normal
1192,neo2-45,1stEdition
1197,ex1-109,normal
1198,swsh5-52,normal
1201,gym2-56,unlimited
1202,xy4-43,holofoil
1203,base6-38,normal
1204,dv1-7,holofoil
1207,sv8pt5-171,holofoil
1209,smp-SM96,holofoil
1210,sv6-55,normal
1211,xy6-34,holofoil
1212,swsh5-36,normal
1213,sv10-153,normal
1214,bw6-30,normal
1215,rsv10pt5-105,holofoil
1216,swsh6-202,holofoil
1218,sv5-55,normal
1220,xy7-59,normal
1226,g1-RC19,holofoil
1227,base5-10,1stEditionHolofoil
1228,ex5-37,normal
1231,sm1-44,normal
1232,dp3-104,normal
1234,hgss3-76,normal
1235,dp3-80,normal
1236,sm4-37,normal
1238,zsv10pt5-118,holofoil
1239,ex7-66,normal
1240,swsh7-68,normal
1241,swsh7-126,normal
1242,gym1-56,unlimited
1244,gym2-16,1stEditionHolofoil
1247,xy5-39,normal
1249,swsh12pt5-119,normal
1253,hgss1-99,normal
1254,pgo-27,normal
1258,ecard2-70,normal
1259,ex11-48,normal
1260,sm2-75,normal
1261,xy1-17,holofoil
1262,swshp-SWSH132,holofoil
1263,sv10-18,holofoil
1264,gym1-88,unlimited
1265,base5-49,1stEdition
1266,xyp-XY34,holofoil
1267,base6-79,normal
1268,neo1-8,unlimitedHolofoil
1269,me1-4,normal
1271,sv6-67,normal
1272,sv4-193,holofoil
1273,bw8-24,normal
1274,g1-56,normal
1275,ex10-38,normal
1276,xy8-94,holofoil
1280,ex16-74,normal
1281,dp1-110,normal
1283,bwp-BW75,holofoil
1284,sv8-49,normal
1285,smp-SM115,holofoil
1286,pl3-23,normal
1288,smp-SM81,holofoil
1292,swsh5-44,normal
1294,swsh2-167,normal
1295,base6-31,normal
1296,sv7-71,holofoil
1299,hgss1-33,normal
1300,ex4-54,normal
1301,ex3-45,normal
1302,sv1-196,normal
1303,swsh5-20,holofoil
1304,ex1-82,normal
1306,sv6-98,normal
1307,sm12-136,holofoil
1308,ex2-67,normal
1312,dv1-4,holofoil
1313,sm2-69,normal
1314,pl2-114,holofoil
1315,sv9-36,normal
1316,svp-139,holofoil
1317,dp6-50,normal
1318,base2-42,1stEdition
1321,sv6-49,normal
1323,xyp-XY79,holofoil
1324,bw7-38,normal
1328,sv1-249,holofoil
1329,swsh9-3,normal
1330,hgss3-38,normal
1331,sm1-96,holofoil
1334,swsh45sv-SV117,holofoil
1335,sv3-107,normal
1336,swsh12pt5gg-GG37,holofoil
1338,swsh10-186,holofoil
1339,pgo-45,normal
1342,gym1-97,unlimited
1343,ex11-76,normal
1344,cel25-1,holofoil
1345,sv10-36,holofoil
1346,dp2-107,normal
1347,sv1-90,normal
1348,ex12-73,normal
1349,swsh1-68,normal
1350,sm12-251,holofoil
1351,swsh7-36,normal
1353,xy2-32,normal
1357,base4-63,normal
1358,neo3-14,unlimitedHolofoil
1360,swsh12-141,normal
1362,ex15-49,normal
1363,hgss4-23,normal
1364,swsh2-4,normal
1365,sm12-31,normal
1368,ex5-19,normal
1371,sv8-4,holofoil
1374,me1-90,normal
1375,smp-SM88,holofoil
1377,ex1-43,normal
1379,sm2-119,normal
1382,rsv10pt5-27,normal
1383,base6-81,normal
1385,sv8pt5-156,holofoil
1386,ex16-58,normal
1387,sma-SV88,holofoil
1388,swsh12-64,normal
1389,pl1-53,normal
1390,pl4-29,normal
1391,ecard1-75,normal
1393,sm4-18,holofoil
1394,ex4-24,normal
1395,swsh10tg-TG20,holofoil
1396,ex2-62,normal
1399,swsh7-96,normal
1400,sv8pt5-7,normal
1401,ex11-96,normal
1403,xyp-XY47,holofoil
1404,ex7-69,normal
1405,rsv10pt5-171,holofoil
1407,swsh7-176,holofoil
1408,swsh12pt5-150,holofoil
1409,sm4-69,normal
1410,swsh6-73,holofoil
1412,neo2-19,unlimited
1415,sm8-12,normal
1417,xy3-56,normal
1418,sv6pt5-19,normal
1420,bw3-17,normal
1422,swsh8-267,holofoil
1423,swsh12-192,holofoil
1425,gym2-96,1stEdition
1426,xyp-XY71,holofoil
1427,sv5-72,normal
1428,bw10-48,normal
1430,sv4-117,normal
1432,pop5-14,normal
1434,sm5-110,normal
1435,gym2-47,1stEdition
1438,pl3-132,normal
1440,hgss1-52,normal
1441,swsh12pt5-3,normal
1442,swsh7-161,normal
1443,xyp-XY14,holofoil
1445,sv1-253,holofoil
1447,sv1-175,normal
1448,rsv10pt5-100,holofoil
1449,gym2-17,unlimitedHolofoil
1450,sv3-162,normal
1452,swsh10-184,holofoil
1453,dp7-66,normal
1454,sma-SV31,holofoil
1455,cel25-14,holofoil
1456,base4-117,normal
1457,sv4pt5-140,holofoil
1458,dp6-60,normal
1459,base2-41,1stEdition
1460,ecard2-105,normal
1461,swsh1-135,normal
1463,swsh6-162,holofoil
1464,sv1-115,normal
1465,bw7-93,normal
1467,swshp-SWSH190,holofoil
1468,sv9-28,normal
1469,sm4-72,normal
1470,sm115-47,normal
1471,dp4-31,normal
1472,sm8-182,holofoil
1473,bw3-61,normal
1475,svp-185,holofoil
1476,ecard3-H27,holofoil
1477,sv5-212,holofoil
1478,sm4-43,normal
1479,xy8-127,normal
1480,sm115-14,holofoil
1481,dp4-14,normal
1482,swsh2-39,normal
1483,sv5-139,normal
1485,dp5-89,normal
1486,sm6-24,holofoil
1487,swsh5-106,normal
1488,ex5-73,normal
1489,pl4-13,normal
1490,sv4-32,holofoil
1491,xy5-59,normal
1492,zsv10pt5-152,holofoil
1493,zsv10pt5-59,normal
1494,swsh12pt5gg-GG16,holofoil
1497,col1-2,holofoil
1498,neo3-35,1stEdition
1500,sm11-42,normal
1501,sma-SV70,holofoil
1504,pop9-12,normal
1507,swsh1-191,holofoil
1509,swsh5-127,normal
1513,ex13-51,normal
1514,gym2-15,unlimitedHolofoil
1515,sv8pt5-87,normal
1516,bw11-103,normal
1517,xy4-38,normal
1519,sm7-61,holofoil
1521,zsv10pt5-141,holofoil
1525,swsh12pt5gg-GG57,holofoil
1527,dp2-15,holofoil
1528,gym1-27,unlimited
1530,bw5-45,normal
1532,sv2-113,holofoil
1533,ex13-14,holofoil
1534,sv4-9,normal
1535,neo4-113,1stEditionHolofoil
1537,bw3-5,normal
1539,ex3-92,holofoil
1540,sv9-48,normal
1541,sv8-198,holofoil
1542,ex16-30,normal
1545,swsh7-104,normal
1547,sm75-35,normal
1548,bw9-9,normal
1549,xy4-54,normal
1550,xy12-36,holofoil
1553,sv8-153,normal
1555,ex12-89,holofoil
1556,bw4-66,normal
1557,swshp-SWSH019,holofoil
1558,neo3-53,1stEdition
1559,sv4pt5-189,holofoil
1560,swsh12-188,holofoil
1563,bw4-97,holofoil
1564,dp1-84,normal
1566,ex11-51,normal
1569,bw9-67,holofoil
1571,sm9-76,holofoil
1572,gym1-5,1stEditionHolofoil
1573,smp-SM208,holofoil
1574,ecard1-46,normal
1576,hgss4-50,normal
1577,sv8pt5-126,normal
1579,swsh8-43,holofoil
1580,xy9-101,normal
1584,sv2-40,holofoil
1589,sv8pt5-113,normal
1590,xyp-XY87,holofoil
1591,swsh9-145,normal
1592,sv6pt5-14,normal
1594,ecard1-8,holofoil
1596,gym1-123,unlimited
1597,hgss4-49,normal
1598,xy3-99,normal
1599,gym2-118,1stEdition
1600,base4-58,normal
1602,ecard2-9,normal
1603,xyp-XY85,holofoil
1604,xy3-52,normal
1610,dp6-59,normal
1611,sv6-158,normal
1612,swsh6-67,normal
1613,xy2-69,holofoil
1614,neo1-40,1stEdition
1615,ex8-10,normal
1617,sv8pt5-85,normal
1618,sm12-52,normal
1620,sv3pt5-16,normal
1623,sm11-237,holofoil
1624,base1-3,holofoil
1626,hgss1-29,normal
1627,dp1-77,normal
1628,sv5-29,holofoil
1629,sv8-33,normal
1630,sv6-61,holofoil
1631,me2-51,normal
1632,svp-56,holofoil
1633,smp-SM229,holofoil
1634,sv4pt5-117,holofoil
1635,neo4-64,unlimited
1638,swsh6-182,holofoil
1639,swsh8-192,normal
1640,swsh12pt5gg-GG02,holofoil
1641,base3-44,1stEdition
1642,sv10-77,normal
1643,sv3pt5-71,normal
1644,dp3-48,normal
1645,ex10-35,normal
1646,ecard3-H11,holofoil
1649,sv1-217,holofoil
1650,bw8-89,normal
1651,sm7-85,holofoil
1656,xy5-99,normal
1657,bw4-61,normal
1660,swsh3-177,holofoil
1661,base3-29,1stEdition
1663,xy2-109,holofoil
1664,dp5-53,normal
1665,sm11-37,normal
