card_id,name,supertype,subtypes,set_id,artist_id,rarity_id
dp2-90,Murkrow,Pokémon,Basic,dp2,191,21
swsh4-90,Riolu,Pokémon,Basic,swsh4,242,21
sv4pt5-184,Sableye,Pokémon,Basic,sv4pt5,214,31
xy1-75,Inkay,Pokémon,Basic,xy1,76,21
rsv10pt5-29,Vanilluxe,Pokémon,Stage 2,rsv10pt5,329,29
ex13-61,Carvanha δ,Pokémon,Basic,ex13,112,21
col1-42,Donphan,Pokémon,Stage 1,col1,198,29
rsv10pt5-115,Zebstrika,Pokémon,Stage 1,rsv10pt5,313,7
ecard2-131,Pokémon Park,Trainer,Stadium,ecard2,23,29
ex3-12,Torkoal,Pokémon,Basic,ex3,162,34
sv3-163,Pidgeotto,Pokémon,Stage 1,sv3,106,29
swsh4-46,Electrode,Pokémon,Stage 1,swsh4,254,34
smp-SM210,Moltres & Zapdos & Articuno-GX,Pokémon,"Basic,TAG TEAM,GX",smp,12,38
xy6-34,Gallade-EX,Pokémon,"Basic,EX",xy6,297,33
xy5-54,Kyogre-EX,Pokémon,"Basic,EX",xy5,196,33
sv9-113,Shelgon,Pokémon,Stage 1,sv9,144,21
neo4-40,Dark Wigglytuff,Pokémon,Stage 1,neo4,189,29
swsh10-171,Machamp V,Pokémon,"Basic,V",swsh10,232,28
sv1-235,Arven,Trainer,Supporter,sv1,94,32
bw11-68,Garbodor,Pokémon,Stage 1,bw11,39,34
dp7-52,Staravia,Pokémon,Stage 1,dp7,198,29
swsh4-159,Rocky Helmet,Trainer,Pokémon Tool,swsh4,296,29
sm6-93,Sliggoo,Pokémon,Stage 1,sm6,191,29
dp2-76,Chansey,Pokémon,Basic,dp2,191,21
sm11-76,Jynx,Pokémon,Basic,sm11,129,29
base5-26,Dark Hypno,Pokémon,Stage 1,base5,162,2
sv8pt5-149,Vaporeon ex,Pokémon,"Stage 1,Tera,ex",sv8pt5,,5
swsh12-2,Venomoth,Pokémon,Stage 1,swsh12,162,29
col1-18,Pachirisu,Pokémon,Basic,col1,253,34
sv5-115,Metagross,Pokémon,Stage 2,sv5,208,29
sv4-103,Naclstack,Pokémon,Stage 1,sv4,105,21
hgss1-15,Ariados,Pokémon,Stage 1,hgss1,116,2
sm12-3,Gloom,Pokémon,Stage 1,sm12,254,29
ex12-86,Dustox ex,Pokémon,"Stage 2,ex",ex12,108,33
sv3-177,Gumshoos,Pokémon,Stage 1,sv3,377,29
pop2-6,Venusaur,Pokémon,Stage 2,pop2,108,2
xy8-10,Quilladin,Pokémon,Stage 1,xy8,189,29
sm9-97,Incineroar-GX,Pokémon,"Stage 2,GX",sm9,76,10
pl4-96,Arceus LV.X,Pokémon,Level-Up,pl4,232,3
bw5-62,Sableye,Pokémon,Basic,bw5,73,29
ex9-28,Grovyle,Pokémon,Stage 1,ex9,108,29
me2-66,Krookodile,Pokémon,Stage 2,me2,66,29
xy5-8,Sceptile,Pokémon,Stage 2,xy5,163,2
sma-SV17,Inkay,Pokémon,Basic,sma,90,9
ex11-52,Rapidash,Pokémon,Stage 1,ex11,191,29
ex14-37,Lombre,Pokémon,Stage 1,ex14,162,29
base4-119,Energy Removal,Trainer,,base4,307,21
dp3-78,Burmy Plant Cloak,Pokémon,Basic,dp3,112,21
swsh10-201,Cyllene,Trainer,Supporter,swsh10,214,20
rsv10pt5-72,Patrat,Pokémon,Basic,rsv10pt5,263,21
ex16-75,Energy Switch,Trainer,Item,ex16,347,29
sv4pt5-240,Wo-Chien ex,Pokémon,"Basic,ex",sv4pt5,76,1
rsv10pt5-38,Sigilyph,Pokémon,Basic,rsv10pt5,209,29
sm12-235,Roller Skater,Trainer,Supporter,sm12,214,28
pl1-22,Blissey,Pokémon,Stage 1,pl1,191,2
ex11-78,Ponyta,Pokémon,Basic,ex11,284,21
ex12-15,Absol,Pokémon,Basic,ex12,198,2
bw11-RC4,Growlithe,Pokémon,Basic,bw11,351,29
me1-109,Yungoos,Pokémon,Basic,me1,,21
base2-28,Vaporeon,Pokémon,Stage 1,base2,162,2
bw9-4,Exeggcute,Pokémon,Basic,bw9,90,29
swsh12-86,Indeedee,Pokémon,Basic,swsh12,183,21
xy4-78,Spearow,Pokémon,Basic,xy4,71,21
pl3-90,Beldum,Pokémon,Basic,pl3,191,21
swsh8-71,Galarian Darumaka,Pokémon,Basic,swsh8,191,21
mcd21-22,Froakie,Pokémon,Basic,mcd21,76,13
xy8-50,Raichu BREAK,Pokémon,BREAK,xy8,76,15
me2-15,Darumaka,Pokémon,Basic,me2,81,21
bw8-95,Black Kyurem-EX,Pokémon,"Basic,EX",bw8,298,33
ex15-5,Milotic δ,Pokémon,Stage 1,ex15,198,34
sv3pt5-120,Staryu,Pokémon,Basic,sv3pt5,327,21
sv4pt5-73,Tandemaus,Pokémon,Basic,sv4pt5,145,21
swsh10-184,Gardenia's Vigor,Trainer,Supporter,swsh10,339,28
xy10-86,Minccino,Pokémon,Basic,xy10,215,21
sv3-198,Gloom,Pokémon,Stage 1,sv3,316,7
hgss2-77,Interviewer's Questions,Trainer,Supporter,hgss2,112,29
mcd22-14,Drampa,Pokémon,Basic,mcd22,17,13
ex4-96,Absol,Pokémon,Basic,ex4,108,27
me2-115,Mega Lopunny ex,Pokémon,"Stage 1,MEGA,ex",me2,76,32
ex7-51,Cubone,Pokémon,Basic,ex7,112,21
bw7-102,White Kyurem,Pokémon,Basic,bw7,76,2
sm9-96,Hoopa-GX,Pokémon,"Basic,GX",sm9,76,10
sv4pt5-148,Abra,Pokémon,Basic,sv4pt5,112,31
swsh5-19,Flapple VMAX,Pokémon,VMAX,swsh5,70,25
sm3-63,Necrozma-GX,Pokémon,"Basic,GX",sm3,216,10
ex9-6,Kyogre,Pokémon,Basic,ex9,117,34
pl2-45,Leafeon,Pokémon,Stage 1,pl2,38,29
sv2-44,Marill,Pokémon,Basic,sv2,47,21
swsh7-83,Medicham V,Pokémon,"Basic,V,Rapid Strike",swsh7,290,16
xyp-XY30,Blastoise-EX,Pokémon,"Basic,EX",xyp,297,38
sv3pt5-183,Charizard ex,Pokémon,"Stage 2,ex",sv3pt5,336,32
swsh8-42,Oricorio,Pokémon,"Basic,Fusion Strike",swsh8,145,2
base3-39,Magmar,Pokémon,Basic,base3,108,29
hgss1-107,Donphan,Pokémon,"Stage 1,Prime",hgss1,79,23
xy1-98,Doduo,Pokémon,Basic,xy1,125,21
sv8-246,Lisia's Appeal,Trainer,Supporter,sv8,,5
bw3-96,Xtransceiver,Trainer,Item,bw3,232,29
ex6-7,Marowak,Pokémon,Stage 1,ex6,308,34
xy10-59,Wormadam,Pokémon,Stage 1,xy10,271,29
sv4-244,Tulip,Trainer,Supporter,sv4,292,32
basep-2,Electabuzz,Pokémon,Basic,basep,116,38
sv7-104,Melmetal,Pokémon,Stage 1,sv7,,2
ex14-4,Charizard δ,Pokémon,Stage 2,ex14,112,34
smp-SM194,Detective Pikachu,Pokémon,Basic,smp,213,38
sv4-132,Doublade,Pokémon,Stage 1,sv4,352,21
gym2-14,Rocket's Mewtwo,Pokémon,Basic,gym2,257,34
bw5-74,Escavalier,Pokémon,Stage 1,bw5,117,2
sv3pt5-53,Persian,Pokémon,Stage 1,sv3pt5,292,29
bw11-79,Riolu,Pokémon,Basic,bw11,284,29
swsh8-149,Pancham,Pokémon,Basic,swsh8,40,21
xy12-35,Pikachu,Pokémon,Basic,xy12,108,21
xy2-78,Kangaskhan-EX,Pokémon,"Basic,EX",xy2,297,33
swsh5-174,Korrina's Focus,Trainer,"Supporter,Rapid Strike",swsh5,256,20
swsh7-28,Gyarados V,Pokémon,"Basic,V",swsh7,70,16
swsh12pt5gg-GG58,Cheren's Care,Trainer,Supporter,swsh12pt5gg,24,28
g1-72,Shauna,Trainer,Supporter,g1,116,29
sv8-251,Night Stretcher,Trainer,Item,sv8,,1
pl1-94,Skuntank G,Pokémon,"Basic,SP",pl1,258,21
ex10-59,Hoothoot,Pokémon,Basic,ex10,108,21
dp2-45,Dewgong,Pokémon,Stage 1,dp2,117,29
base5-59,Machop,Pokémon,Basic,base5,116,21
sv9-46,Alolan Golem,Pokémon,Stage 2,sv9,360,29
gym2-100,Blaine,Trainer,,gym2,116,2
swshp-SWSH006,Rillaboom,Pokémon,Stage 2,swshp,112,38
swsh5-102,Bronzong,Pokémon,Stage 1,swsh5,264,34
pl1-85,Piplup,Pokémon,Basic,pl1,108,21
base1-84,PlusPower,Trainer,,base1,307,29
sv8pt5-118,Ogre's Mask,Trainer,Item,sv8pt5,,29
sv8-102,Phanpy,Pokémon,Basic,sv8,,21
bw11-101,White Kyurem-EX,Pokémon,"Basic,EX",bw11,297,33
dp5-88,Warp Point,Trainer,Item,dp5,232,29
sm8-59,Suicune,Pokémon,Basic,sm8,277,34
swsh12pt5-19,Charizard VSTAR,Pokémon,VSTAR,swsh12pt5,76,24
pop6-13,Cherubi,Pokémon,Basic,pop6,191,21
ex11-7,Jolteon δ,Pokémon,Stage 1,ex11,112,34
dp6-8,Luxray,Pokémon,Stage 2,dp6,108,34
hgss1-70,Koffing,Pokémon,Basic,hgss1,163,21
swsh12pt5-14,Leafeon VSTAR,Pokémon,VSTAR,swsh12pt5,83,24
swsh45sv-SV064,Galarian Sirfetch'd,Pokémon,Stage 1,swsh45sv,112,9
sm4-86,Cinccino,Pokémon,Stage 1,sm4,131,29
sm75-35,Dratini,Pokémon,Basic,sm75,277,21
sv5-152,Hero's Cape,Trainer,"Pokémon Tool,ACE SPEC",sv5,334,19
ex12-83,Arcanine ex,Pokémon,"Stage 1,ex",ex12,136,33
swshp-SWSH080,Dedenne,Pokémon,Basic,swshp,55,38
swsh12pt5gg-GG30,Pikachu,Pokémon,Basic,swsh12pt5gg,112,37
xy1-96,Xerneas,Pokémon,Basic,xy1,76,2
xy7-55,Cottonee,Pokémon,Basic,xy7,194,21
xy5-49,Clamperl,Pokémon,Basic,xy5,108,21
rsv10pt5-120,Swoobat,Pokémon,Stage 1,rsv10pt5,323,7
sm12-263,Giant Hearth,Trainer,Stadium,sm12,76,27
sm2-27,Carvanha,Pokémon,Basic,sm2,37,21
pl1-78,Kricketot,Pokémon,Basic,pl1,271,21
sm7-119,Exploud,Pokémon,Stage 2,sm7,73,2
sv6pt5-77,Fraxure,Pokémon,Stage 1,sv6pt5,,7
sm11-191,Cherish Ball,Trainer,Item,sm11,76,29
svp-38,Togekiss,Pokémon,Stage 2,svp,140,38
xy12-16,Ninetales BREAK,Pokémon,BREAK,xy12,76,15
bw4-15,Pansear,Pokémon,Basic,bw4,274,21
xy3-87,Noibat,Pokémon,Basic,xy3,76,21
smp-SM132,Delcatty,Pokémon,Stage 1,smp,131,38
sm1-135,Ultra Ball,Trainer,Item,sm1,232,29
swsh4-10,Seedot,Pokémon,Basic,swsh4,38,21
swsh8-58,Marill,Pokémon,Basic,swsh8,129,21
sv3-215,Charizard ex,Pokémon,"Stage 2,ex,Tera",sv3,76,32
sv3pt5-109,Koffing,Pokémon,Basic,sv3pt5,322,21
g1-3,Caterpie,Pokémon,Basic,g1,125,21
zsv10pt5-85,Professor's Research,Trainer,Supporter,zsv10pt5,256,29
ex13-85,Holon Adventurer,Trainer,Supporter,ex13,112,29
sv10-77,Rotom,Pokémon,Basic,sv10,45,21
pl3-1,Absol G,Pokémon,"Basic,SP",pl3,203,34
ex14-51,Duskull,Pokémon,Basic,ex14,293,21
pl1-59,Prinplup,Pokémon,Stage 1,pl1,108,29
me1-43,Frosmoth,Pokémon,Stage 1,me1,,29
g1-RC30,Gardevoir-EX,Pokémon,"Basic,EX",g1,71,28
sv10-207,Arboliva ex,Pokémon,"Stage 2,ex",sv10,70,32
sv1-119,Silicobra,Pokémon,Basic,sv1,112,21
xyp-XY190,Manaphy,Pokémon,Basic,xyp,116,38
sm1-23,Torkoal,Pokémon,Basic,sm1,254,21
dp6-13,Probopass,Pokémon,Stage 1,dp6,79,34
xy11-15,Volcarona,Pokémon,Stage 1,xy11,112,2
zsv10pt5-21,Seismitoad,Pokémon,Stage 2,zsv10pt5,124,29
sv5-153,Master Ball,Trainer,"Item,ACE SPEC",sv5,296,19
sm8-187,Net Ball,Trainer,Item,sm8,232,29
ecard1-9,Dragonite,Pokémon,Stage 2,ecard1,162,34
sm5-28,Alolan Sandshrew,Pokémon,Basic,sm5,317,21
me1-40,Drizzile,Pokémon,Stage 1,me1,,21
sm7-161,Apricorn Maker,Trainer,Supporter,sm7,162,28
ex13-91,Claw Fossil,Trainer,Item,ex13,232,21
sm3-22,Pansear,Pokémon,Basic,sm3,189,21
swsh4-95,Lycanroc,Pokémon,Stage 1,swsh4,277,2
swsh45-10,Dhelmise VMAX,Pokémon,VMAX,swsh45,336,25
ex15-75,Holon Mentor,Trainer,Supporter,ex15,112,29
swsh9-147,Professor's Research,Trainer,Supporter,swsh9,351,34
xy8-108,Axew,Pokémon,Basic,xy8,162,21
swsh6-169,Galarian Articuno V,Pokémon,"Basic,V",swsh6,76,28
swsh6-16,Grookey,Pokémon,"Basic,Rapid Strike",swsh6,183,21
ex5-10,Medicham,Pokémon,Stage 1,ex5,191,34
sv5-194,Farigiraf ex,Pokémon,"Stage 1,Tera,ex",sv5,76,32
swsh7-227,Inteleon,Pokémon,"Stage 2,Rapid Strike",swsh7,115,27
ex2-21,Sandslash,Pokémon,Stage 1,ex2,112,2
swsh4-63,Clefairy,Pokémon,Basic,swsh4,12,21
swsh9-26,Infernape,Pokémon,Stage 2,swsh9,277,34
sm6-75,Rockruff,Pokémon,Basic,sm6,17,21
swshp-SWSH256,Origin Forme Dialga VSTAR,Pokémon,VSTAR,swshp,76,38
swsh12-195,Worker,Trainer,Supporter,swsh12,55,28
swsh12-151,Brandon,Trainer,Supporter,swsh12,116,29
sv4-148,Whismur,Pokémon,Basic,sv4,254,21
sv9-12,Shelmet,Pokémon,Basic,sv9,286,21
swshp-SWSH242,Comfey,Pokémon,Basic,swshp,151,38
sv5-83,Medicham,Pokémon,Stage 1,sv5,316,21
sm8-195,Shuckle-GX,Pokémon,"Basic,GX",sm8,76,28
sv5-30,Victini,Pokémon,Basic,sv5,322,21
ecard2-67,Aipom,Pokémon,Basic,ecard2,162,21
xy2-69,M Charizard-EX,Pokémon,"MEGA,EX",xy2,76,33
ex4-22,Team Magma's Rhydon,Pokémon,Stage 1,ex4,193,2
bw6-111,Rufflet,Pokémon,Basic,bw6,38,21
svp-88,Pikachu,Pokémon,Basic,svp,47,38
hgss3-69,Stunky,Pokémon,Basic,hgss3,284,21
dp2-123,Magmortar LV.X,Pokémon,Level-Up,dp2,298,3
sv4-252,Gholdengo ex,Pokémon,"Stage 1,ex",sv4,340,5
swshp-SWSH166,Zacian V-UNION,Pokémon,V-UNION,swshp,70,38
sv4pt5-78,Clive,Trainer,Supporter,sv4pt5,376,29
sm5-52,Drifblim,Pokémon,Stage 1,sm5,262,29
swsh6-41,Sobble,Pokémon,"Basic,Rapid Strike",swsh6,55,21
neo4-67,Gligar,Pokémon,Basic,neo4,116,21
ex3-30,Graveler,Pokémon,Stage 1,ex3,198,29
swsh12pt5-140,Raihan,Trainer,Supporter,swsh12pt5,37,34
sv8pt5-68,Heatran,Pokémon,Basic,sv8pt5,,29
swshp-SWSH042,Eevee,Pokémon,Basic,swshp,273,38
sm12-68,Magnemite,Pokémon,Basic,sm12,38,21
ex13-67,Kabuto δ,Pokémon,Stage 1,ex13,163,21
dp1-44,Cascoon,Pokémon,Stage 1,dp1,116,29
dp2-113,Night Maintenance,Trainer,Item,dp2,232,29
sm11-35,Slowpoke & Psyduck-GX,Pokémon,"Basic,TAG TEAM,GX",sm11,108,10
sm2-26,Delibird,Pokémon,Basic,sm2,254,21
sv3-213,Glimmora ex,Pokémon,"Stage 1,ex",sv3,76,32
bw6-44,Manectric,Pokémon,Stage 1,bw6,117,2
dp1-13,Roserade,Pokémon,Stage 1,dp1,240,34
xy1-102,Taillow,Pokémon,Basic,xy1,254,21
swsh8-219,Rookidee,Pokémon,Basic,swsh8,140,21
sv8pt5-170,Amarys,Trainer,Supporter,sv8pt5,,5
sm3-76,Lycanroc,Pokémon,Stage 1,sm3,117,2
xy2-5,Seedot,Pokémon,Basic,xy2,284,21
swsh45-9,Dhelmise V,Pokémon,"Basic,V",swsh45,297,16
bwp-BW10,Axew,Pokémon,Basic,bwp,117,38
base3-28,Muk,Pokémon,Stage 1,base3,108,2
dp7-43,Magneton,Pokémon,Stage 1,dp7,79,29
ex13-60,Barboach,Pokémon,Basic,ex13,198,21
rsv10pt5-172,Victini,Pokémon,Basic,rsv10pt5,76,2
sm8-160,Ho-Oh,Pokémon,Basic,sm8,308,2
sv6-168,Pinsir,Pokémon,Basic,sv6,124,7
dpp-DP53,Arceus LV.X,Pokémon,Level-Up,dpp,298,38
sv4pt5-24,Exeggutor,Pokémon,Stage 1,sv4pt5,170,2
sv8-21,Victini,Pokémon,Basic,sv8,,29
svp-100,Grafaiai ex,Pokémon,"Stage 1,ex",svp,207,38
sv8-25,Volcarona,Pokémon,Stage 1,sv8,,21
sm11-242,Mewtwo & Mew-GX,Pokémon,"Basic,TAG TEAM,GX",sm11,76,20
swsh6-7,Celebi V,Pokémon,"Basic,V",swsh6,305,16
ex5-52,Baltoy,Pokémon,Basic,ex5,271,21
sv6-190,Teal Mask Ogerpon ex,Pokémon,"Basic,Tera,ex",sv6,76,32
ex4-68,Team Magma's Rhyhorn,Pokémon,Basic,ex4,278,21
ex12-56,Lileep,Pokémon,Stage 1,ex12,191,21
ex11-64,Ditto,Pokémon,Basic,ex11,43,21
sv8pt5-146,Flareon ex,Pokémon,"Stage 1,Tera,ex",sv8pt5,,5
smp-SM129,Kyogre,Pokémon,Basic,smp,277,38
swsh6-136,Echoing Horn,Trainer,"Item,Rapid Strike",swsh6,296,29
swsh12pt5-47,Emolga,Pokémon,Basic,swsh12pt5,332,21
hgss2-23,Roserade,Pokémon,Stage 1,hgss2,202,2
cel25-19,Yveltal,Pokémon,Basic,cel25,305,2
ex7-47,Rocket's Wobbuffet,Pokémon,Basic,ex7,108,29
sm35-46,Stunfisk,Pokémon,Basic,sm35,284,21
sv10-198,Team Rocket's Orbeetle,Pokémon,Stage 2,sv10,12,7
sv3pt5-74,Geodude,Pokémon,Basic,sv3pt5,146,21
ex4-45,Slowpoke,Pokémon,Basic,ex4,116,21
svp-147,Iron Boulder ex,Pokémon,"Basic,ex,Future",svp,76,38
neo1-94,Miracle Berry,Trainer,Pokémon Tool,neo1,306,29
swsh35-3,Kakuna,Pokémon,Stage 1,swsh35,189,21
pop6-5,Rampardos,Pokémon,Stage 2,pop6,205,2
neo2-14,Unown [A],Pokémon,Basic,neo2,111,34
swsh7-110,Rayquaza V,Pokémon,"Basic,V,Rapid Strike",swsh7,336,16
bw11-63,Toxicroak,Pokémon,Stage 1,bw11,292,2
gym1-131,Psychic Energy,Energy,Basic,gym1,307,13
sv4pt5-88,Professor's Research,Trainer,Supporter,sv4pt5,215,2
sv7-175,Bravery Charm,Trainer,Pokémon Tool,sv7,,1
swsh12-30,Litten,Pokémon,Basic,swsh12,304,21
swsh7-124,Regidrago,Pokémon,Basic,swsh7,112,34
hgss4-13,Ambipom,Pokémon,Stage 1,hgss4,284,2
swsh3-114,Grimmsnarl V,Pokémon,"Basic,V",swsh3,76,16
pl4-59,Charmander,Pokémon,Basic,pl4,38,21
ex5-20,Masquerain,Pokémon,Stage 1,ex5,286,2
pop1-2,Metagross,Pokémon,Stage 2,pop1,116,2
swsh11tg-TG08,Hisuian Arcanine,Pokémon,Stage 1,swsh11tg,273,37
xy5-139,Shrine of Memories,Trainer,Stadium,xy5,232,29
neo4-86,Unown [L],Pokémon,Basic,neo4,111,21
sm8-191,Thunder Mountain ◇,Trainer,"Stadium,Prism Star",sm8,76,18
ecard1-19,Mew,Pokémon,Basic,ecard1,163,34
sv3-150,Kingambit,Pokémon,Stage 2,sv3,196,29
sma-SV81,Aether Foundation Employee,Trainer,Supporter,sma,236,28
sm1-43,Crabominable,Pokémon,Stage 1,sm1,142,2
swsh6-35,Snorunt,Pokémon,Basic,swsh6,112,21
base2-34,Dodrio,Pokémon,Stage 1,base2,108,29
bw4-42,Shinx,Pokémon,Basic,bw4,191,21
base5-39,Dark Kadabra,Pokémon,Stage 1,base5,162,29
ecard1-16,Machamp,Pokémon,Stage 2,ecard1,257,34
swsh9-67,Dedenne,Pokémon,Basic,swsh9,368,21
sv6pt5-65,Tapu Bulu,Pokémon,Basic,sv6pt5,,7
sm75-10,Heatmor,Pokémon,Basic,sm75,116,29
ex14-81,Mysterious Shard,Trainer,Pokémon Tool,ex14,50,29
swsh4-80,Milcery,Pokémon,Basic,swsh4,112,21
sv3pt5-130,Gyarados,Pokémon,Stage 1,sv3pt5,112,2
me2-108,Mega Heracross ex,Pokémon,"Basic,MEGA,ex",me2,76,32
bw2-50,Roggenrola,Pokémon,Basic,bw2,117,21
xy0-36,Pokémon Catcher,Trainer,Item,xy0,76,13
swsh7-52,Chinchou,Pokémon,Basic,swsh7,129,21
np-35,Pikachu δ,Pokémon,Basic,np,232,38
zsv10pt5-62,Klang,Pokémon,Stage 1,zsv10pt5,74,21
xy11-96,Talonflame,Pokémon,Stage 2,xy11,112,2
dp1-64,Staravia,Pokémon,Stage 1,dp1,117,29
ex11-46,Kakuna,Pokémon,Stage 1,ex11,34,29
dp3-62,Roselia,Pokémon,Basic,dp3,112,29
xy11-53,Primeape,Pokémon,Stage 1,xy11,117,2
pgo-41,Alolan Rattata,Pokémon,Basic,pgo,88,21
xy12-42,Zapdos,Pokémon,Basic,xy12,116,34
zsv10pt5-72,Tranquill,Pokémon,Stage 1,zsv10pt5,101,21
bw9-119,Garbodor,Pokémon,Stage 1,bw9,281,27
bw1-14,Sawsbuck,Pokémon,Stage 1,bw1,284,2
swshp-SWSH276,Togetic,Pokémon,Stage 1,swshp,304,38
swsh8-267,Boltund VMAX,Pokémon,VMAX,swsh8,70,20
swsh11tg-TG23,Adventurer's Discovery,Trainer,Supporter,swsh11tg,256,28
ecard3-148,Golem,Pokémon,Stage 2,ecard3,108,27
pl4-54,Bronzor,Pokémon,Basic,pl4,117,21
swsh10tg-TG13,Starmie V,Pokémon,"Basic,V",swsh10tg,340,16
xy1-131,Rainbow Energy,Energy,Special,xy1,76,29
hgss2-60,Riolu,Pokémon,Basic,hgss2,112,21
ex16-34,Medicham,Pokémon,Stage 1,ex16,39,29
dp1-118,Potion,Trainer,Item,dp1,176,21
bw3-70,Mienshao,Pokémon,Stage 1,bw3,191,29
neo3-64,Old Rod,Trainer,,neo3,307,21
base4-56,Persian,Pokémon,Stage 1,base4,162,29
xy1-18,Skiddo,Pokémon,Basic,xy1,76,21
mcd21-13,Tepig,Pokémon,Basic,mcd21,116,13
xy8-42,Simipour,Pokémon,Stage 1,xy8,117,2
smp-SM240,Espeon & Deoxys-GX,Pokémon,"Basic,TAG TEAM,GX",smp,264,38
ex10-E,Unown,Pokémon,Basic,ex10,176,2
xy10-41,Larvitar,Pokémon,Basic,xy10,117,21
swsh10-203,Grant,Trainer,Supporter,swsh10,37,20
base4-65,Abra,Pokémon,Basic,base4,108,21
bw1-78,Patrat,Pokémon,Basic,bw1,117,21
svp-170,Leafeon,Pokémon,Stage 1,svp,238,38
xy1-86,Aegislash,Pokémon,Stage 2,xy1,76,34
base4-37,Dodrio,Pokémon,Stage 1,base4,108,29
bw8-60,Kirlia,Pokémon,Stage 1,bw8,71,29
base6-73,Drowzee,Pokémon,Basic,base6,162,21
sm10-231,Fire Crystal,Trainer,Item,sm10,355,27
sv6-66,Shinx,Pokémon,Basic,sv6,55,21
sv10-84,Steven's Claydol,Pokémon,Stage 1,sv10,214,29
dp2-55,Masquerain,Pokémon,Stage 1,dp2,198,29
swshp-SWSH093,Arrokuda,Pokémon,Basic,swshp,223,38
dp2-108,Zubat,Pokémon,Basic,dp2,116,21
xyp-XY113,Manaphy,Pokémon,Basic,xyp,75,38
swsh12pt5-147,Elesa's Sparkle,Trainer,"Fusion Strike,Supporter",swsh12pt5,184,28
bw11-86,Meloetta,Pokémon,Basic,bw11,71,2
xy5-102,Marill,Pokémon,Basic,xy5,90,21
sm35-75,Raichu-GX,Pokémon,"Stage 1,GX",sm35,76,20
swsh9-182,Galarian Zapdos V,Pokémon,"Basic,V",swsh9,76,27
