price_id,variant_id,market_price,date_observed
301,10129,0.59,2026-01-25
302,18793,1.26,2026-01-25
303,12695,0.20,2026-01-25
304,16200,0.65,2026-01-25
305,7100,0.30,2026-01-25
306,20793,0.56,2026-01-25
307,19740,2.34,2026-01-25
308,16287,2.66,2026-01-25
309,11355,59.40,2026-01-25
310,5644,85.00,2026-01-25
311,20352,0.16,2026-01-25
312,13466,0.31,2026-01-25
313,9896,15.56,2026-01-25
314,7160,1.80,2026-01-25
315,3451,56.47,2026-01-25
316,45,28.79,2026-01-25
317,20110,0.31,2026-01-25
318,12207,0.76,2026-01-25
319,17790,115.44,2026-01-25
320,2567,6.36,2026-01-25
321,22684,27.39,2026-01-25
322,21733,14.13,2026-01-25
323,341,11.66,2026-01-25
324,25145,0.19,2026-01-25
325,19116,0.39,2026-01-25
326,13585,2.75,2026-01-25
327,13285,2.66,2026-01-25
328,19843,0.84,2026-01-25
329,17863,0.15,2026-01-25
330,15307,26.71,2026-01-25
331,19704,36.15,2026-01-25
332,5609,0.14,2026-01-25
333,16621,0.36,2026-01-25
334,16243,0.05,2026-01-25
335,8325,0.23,2026-01-25
336,17727,9.44,2026-01-25
337,25273,4.75,2026-01-25
338,2788,4.70,2026-01-25
339,10364,3.31,2026-01-25
340,12882,114.10,2026-01-25
341,1352,249.99,2026-01-25
342,22708,3.15,2026-01-25
343,10703,3.70,2026-01-25
344,25461,1.46,2026-01-25
345,22246,5.34,2026-01-25
346,17060,16.50,2026-01-25
347,7065,22.29,2026-01-25
348,3381,48.57,2026-01-25
349,3495,13.12,2026-01-25
350,25205,0.08,2026-01-25
351,2039,0.18,2026-01-25
352,4354,0.14,2026-01-25
353,15772,0.47,2026-01-25
354,6974,37.49,2026-01-25
355,205,119.99,2026-01-25
356,12423,108.99,2026-01-25
357,26957,99.82,2026-01-25
358,9145,48.48,2026-01-25
359,1195,45.99,2026-01-25
360,16605,429.06,2026-01-25
361,16770,122.18,2026-01-25
362,13990,15.39,2026-01-25
363,25136,22.00,2026-01-25
364,20607,29.99,2026-01-25
365,10744,10.93,2026-01-25
366,12199,9.36,2026-01-25
367,12918,0.35,2026-01-25
368,12322,1.60,2026-01-25
369,9402,44.99,2026-01-25
370,2783,48.46,2026-01-25
371,3774,250.75,2026-01-25
372,21623,127.05,2026-01-25
373,11767,0.14,2026-01-25
374,3912,0.40,2026-01-25
375,5560,10.26,2026-01-25
376,5558,13.13,2026-01-25
377,5134,0.25,2026-01-25
378,17586,0.48,2026-01-25
379,26369,11.59,2026-01-25
380,2842,6.26,2026-01-25
381,5837,17.88,2026-01-25
382,2123,13.22,2026-01-25
383,25223,10.63,2026-01-25
384,13204,15.21,2026-01-25
385,11828,18.26,2026-01-25
386,12598,7.78,2026-01-25
387,2012,454.66,2026-01-25
388,13911,1100.00,2026-01-25
389,16817,0.22,2026-01-25
390,22337,0.55,2026-01-25
391,23643,3.63,2026-01-25
392,1876,4.99,2026-01-25
393,20169,3.80,2026-01-25
394,6466,27.99,2026-01-25
395,119,11.99,2026-01-25
396,20621,14.38,2026-01-25
397,525,39.85,2026-01-25
398,3266,175.00,2026-01-25
399,8819,54.69,2026-01-25
400,23727,18.68,2026-01-25
401,12587,0.31,2026-01-25
402,11500,0.54,2026-01-25
403,15658,2.76,2026-01-25
404,11722,0.74,2026-01-25
405,13869,0.38,2026-01-25
406,14956,0.58,2026-01-25
407,16844,0.29,2026-01-25
408,21853,0.65,2026-01-25
409,20573,199.95,2026-01-25
410,22300,60.48,2026-01-25
411,10278,3.23,2026-01-25
412,19047,2.10,2026-01-25
413,10397,0.30,2026-01-25
414,10221,0.12,2026-01-25
415,8553,8.67,2026-01-25
416,14243,10.51,2026-01-25
417,16755,14.64,2026-01-25
418,8745,0.13,2026-01-25
419,24609,0.29,2026-01-25
420,5074,0.23,2026-01-25
421,16087,0.07,2026-01-25
422,18276,164.65,2026-01-25
423,10331,0.29,2026-01-25
424,24017,0.38,2026-01-25
425,16038,0.16,2026-01-25
426,10196,0.44,2026-01-25
427,12741,0.25,2026-01-25
428,22160,0.59,2026-01-25
429,13246,146.98,2026-01-25
430,10213,182.55,2026-01-25
431,22121,8.57,2026-01-25
432,23793,9.67,2026-01-25
433,14276,8.99,2026-01-25
434,10091,11.19,2026-01-25
435,12842,0.24,2026-01-25
436,25883,0.51,2026-01-25
437,15628,1.60,2026-01-25
438,5959,0.18,2026-01-25
439,13346,0.52,2026-01-25
440,21726,6.98,2026-01-25
441,26975,7.93,2026-01-25
442,14955,1.56,2026-01-25
443,14827,14.09,2026-01-25
444,11126,21.87,2026-01-25
445,5254,19.16,2026-01-25
446,4882,7.34,2026-01-25
447,2374,80.00,2026-01-25
448,21075,75.00,2026-01-25
449,2740,105.00,2026-01-25
450,13476,114.96,2026-01-25
451,2527,0.15,2026-01-25
452,16915,0.32,2026-01-25
453,7107,0.52,2026-01-25
454,25666,0.30,2026-01-25
455,21395,5.60,2026-01-25
456,25050,7.40,2026-01-25
457,13426,355.78,2026-01-25
458,14908,135.82,2026-01-25
459,14881,11.64,2026-01-25
460,24318,11.19,2026-01-25
461,18610,90.61,2026-01-25
462,26704,38.36,2026-01-25
463,14791,299.07,2026-01-25
464,15402,0.33,2026-01-25
465,10618,0.40,2026-01-25
466,20430,0.26,2026-01-25
467,21495,0.49,2026-01-25
468,19547,2.48,2026-01-25
469,7509,5.37,2026-01-25
470,2002,81.37,2026-01-25
471,14661,80.66,2026-01-25
472,23821,7.70,2026-01-25
473,11634,8.92,2026-01-25
474,15506,19.73,2026-01-25
475,13085,23.51,2026-01-25
476,7807,35.75,2026-01-25
477,2083,0.40,2026-01-25
478,16876,0.61,2026-01-25
479,18814,0.19,2026-01-25
480,5751,0.50,2026-01-25
481,16260,0.64,2026-01-25
482,1221,2.15,2026-01-25
483,706,5.41,2026-01-25
484,18385,8.65,2026-01-25
485,10068,66.21,2026-01-25
486,17853,74.99,2026-01-25
487,20522,0.18,2026-01-25
488,1305,0.42,2026-01-25
489,1624,35.22,2026-01-25
490,3880,0.14,2026-01-25
491,16797,0.30,2026-01-25
492,19319,20.45,2026-01-25
493,12956,7.52,2026-01-25
494,21150,0.34,2026-01-25
495,3428,0.48,2026-01-25
496,5509,2.06,2026-01-25
497,3481,21.50,2026-01-25
498,62,36.37,2026-01-25
499,21680,141.00,2026-01-25
500,5194,11.59,2026-01-25
501,11009,13.82,2026-01-25
502,26366,0.27,2026-01-25
503,18861,0.45,2026-01-25
504,14445,5.78,2026-01-25
505,26789,35.39,2026-01-25
506,17968,8.30,2026-01-25
507,6529,12.49,2026-01-25
508,13725,0.27,2026-01-25
509,10423,0.46,2026-01-25
510,11423,141.08,2026-01-25
511,6387,550.00,2026-01-25
512,10902,26.21,2026-01-25
513,19298,8.64,2026-01-25
514,21191,6.64,2026-01-25
515,1914,6.39,2026-01-25
516,5665,7.30,2026-01-25
517,13121,17.27,2026-01-25
518,3436,14.49,2026-01-25
519,6911,0.59,2026-01-25
520,6089,1.72,2026-01-25
521,5210,0.69,2026-01-25
522,6111,16.44,2026-01-25
523,5742,17.95,2026-01-25
524,12446,0.30,2026-01-25
525,17721,0.13,2026-01-25
526,3929,0.74,2026-01-25
527,16707,1.37,2026-01-25
528,15063,77.43,2026-01-25
529,18037,10.34,2026-01-25
530,13243,10.50,2026-01-25
531,12912,9.32,2026-01-25
532,22746,7.33,2026-01-25
533,1204,1.49,2026-01-25
534,14658,37.31,2026-01-25
535,15444,28.30,2026-01-25
536,17461,200.91,2026-01-25
537,10693,86.27,2026-01-25
538,489,0.44,2026-01-25
539,5276,0.13,2026-01-25
540,25527,3.73,2026-01-25
541,13472,15.96,2026-01-25
542,5393,0.22,2026-01-25
543,1091,0.75,2026-01-25
544,8192,10.03,2026-01-25
545,10901,351.61,2026-01-25
546,23781,113.38,2026-01-25
547,9909,0.19,2026-01-25
548,13874,0.23,2026-01-25
549,2331,31.00,2026-01-25
550,4122,46.95,2026-01-25
551,8066,1.14,2026-01-25
552,22439,0.15,2026-01-25
553,11042,0.38,2026-01-25
554,19968,0.49,2026-01-25
555,14263,0.49,2026-01-25
556,18189,17.08,2026-01-25
557,9943,0.27,2026-01-25
558,878,0.43,2026-01-25
559,18526,0.09,2026-01-25
560,19,0.20,2026-01-25
561,17572,30.21,2026-01-25
562,24193,29.27,2026-01-25
563,21073,4.89,2026-01-25
564,22979,5.82,2026-01-25
565,22054,0.32,2026-01-25
566,12703,0.46,2026-01-25
567,23841,25.62,2026-01-25
568,7048,30.50,2026-01-25
569,18963,0.33,2026-01-25
570,3069,1.48,2026-01-25
571,15901,53.63,2026-01-25
572,9,24.44,2026-01-25
573,9230,0.61,2026-01-25
574,16699,2.23,2026-01-25
575,18154,67.20,2026-01-25
576,11786,29.66,2026-01-25
577,16133,188.89,2026-01-25
578,12936,0.51,2026-01-25
579,22976,0.33,2026-01-25
580,5455,0.16,2026-01-25
581,9704,0.56,2026-01-25
582,12078,24.59,2026-01-25
583,5281,14.15,2026-01-25
584,26836,25.46,2026-01-25
585,20295,0.44,2026-01-25
586,15875,9.27,2026-01-25
587,17010,13.39,2026-01-25
588,22223,14.97,2026-01-25
589,1792,6.18,2026-01-25
590,25237,49.99,2026-01-25
591,26381,52.39,2026-01-25
592,25894,76.13,2026-01-25
593,21924,3.57,2026-01-25
594,24826,2.56,2026-01-25
595,13772,86.73,2026-01-25
596,23751,149.99,2026-01-25
597,9767,4.35,2026-01-25
598,1653,3.24,2026-01-25
599,25399,68.95,2026-01-25
600,3525,42.94,2026-01-25
601,17322,0.16,2026-01-25
602,1006,0.25,2026-01-25
603,25969,29.90,2026-01-25
604,22847,26.09,2026-01-25
605,8052,462.35,2026-01-25
606,12566,40.58,2026-01-25
607,20917,18.71,2026-01-25
608,15316,11.92,2026-01-25
609,6313,10.38,2026-01-25
610,11819,159.99,2026-01-25
611,18453,349.95,2026-01-25
612,2107,150.48,2026-01-25
613,7563,135.99,2026-01-25
614,7377,248.00,2026-01-25
615,2335,600.00,2026-01-25
616,23226,303.22,2026-01-25
617,14569,0.31,2026-01-25
618,25921,1.51,2026-01-25
619,22377,0.23,2026-01-25
620,9895,0.45,2026-01-25
621,26674,0.42,2026-01-25
622,417,0.15,2026-01-25
623,13799,8.59,2026-01-25
624,4476,18.98,2026-01-25
625,961,0.29,2026-01-25
626,6444,0.65,2026-01-25
627,13199,1.03,2026-01-25
628,7872,1.46,2026-01-25
629,11557,35.97,2026-01-25
630,19984,62.50,2026-01-25
631,26691,0.27,2026-01-25
632,15165,0.46,2026-01-25
633,4208,16.79,2026-01-25
634,26684,17.91,2026-01-25
635,11590,420.10,2026-01-25
636,12284,3.92,2026-01-25
637,15690,199.99,2026-01-25
638,21971,69.19,2026-01-25
639,9955,154.94,2026-01-25
640,23750,342.66,2026-01-25
641,3143,148.94,2026-01-25
642,86,105.62,2026-01-25
643,6108,65.11,2026-01-25
644,4865,4.55,2026-01-25
645,14228,9.49,2026-01-25
646,18881,3.30,2026-01-25
647,9839,3.99,2026-01-25
648,15646,4.28,2026-01-25
649,10263,0.20,2026-01-25
650,5438,0.32,2026-01-25
651,7560,30.97,2026-01-25
652,23452,41.33,2026-01-25
653,6816,47.99,2026-01-25
654,7293,6.94,2026-01-25
655,2309,26.59,2026-01-25
656,6122,34.97,2026-01-25
657,2535,6.97,2026-01-25
658,4546,11.03,2026-01-25
659,10736,0.38,2026-01-25
660,18018,0.72,2026-01-25
661,376,0.27,2026-01-25
662,15178,0.33,2026-01-25
663,26170,0.36,2026-01-25
664,25693,1.20,2026-01-25
665,13629,0.17,2026-01-25
666,18066,0.33,2026-01-25
667,24492,115.09,2026-01-25
668,26438,150.00,2026-01-25
669,25140,0.21,2026-01-25
670,920,0.74,2026-01-25
671,8815,3.91,2026-01-25
672,3503,7.76,2026-01-25
673,15822,5.76,2026-01-25
674,9330,42.95,2026-01-25
675,21011,68.22,2026-01-25
676,23669,0.19,2026-01-25
677,21908,0.08,2026-01-25
678,12153,0.94,2026-01-25
679,25251,0.72,2026-01-25
680,22828,33.27,2026-01-25
681,2314,129.99,2026-01-25
682,15303,0.31,2026-01-25
683,22422,0.37,2026-01-25
684,16551,10.60,2026-01-25
685,12862,7.75,2026-01-25
686,11325,0.63,2026-01-25
687,8786,1.17,2026-01-25
688,4683,2.36,2026-01-25
689,12084,2.30,2026-01-25
690,9598,57.74,2026-01-25
691,3182,21.70,2026-01-25
692,23672,9.68,2026-01-25
693,10768,8.61,2026-01-25
694,9056,51.14,2026-01-25
695,19160,49.17,2026-01-25
696,655,0.09,2026-01-25
697,21148,0.22,2026-01-25
698,19804,5.03,2026-01-25
699,13826,5.86,2026-01-25
700,4215,2.17,2026-01-25
701,3789,2.72,2026-01-25
702,23671,0.21,2026-01-25
703,18212,0.49,2026-01-25
704,8329,12.36,2026-01-25
705,12215,5.32,2026-01-25
706,3224,10.62,2026-01-25
707,2656,18.12,2026-01-25
708,15661,0.31,2026-01-25
709,5022,0.62,2026-01-25
710,7305,0.15,2026-01-25
711,8410,0.36,2026-01-25
712,4665,0.18,2026-01-25
713,4805,0.53,2026-01-25
714,22922,1.20,2026-01-25
715,14667,1.55,2026-01-25
716,5967,3.55,2026-01-25
717,21318,0.55,2026-01-25
718,19300,0.31,2026-01-25
719,26380,11.91,2026-01-25
720,10286,4.62,2026-01-25
721,10894,0.23,2026-01-25
722,12203,0.43,2026-01-25
723,17488,69.98,2026-01-25
724,12983,36.48,2026-01-25
725,18370,26.23,2026-01-25
726,16139,5.52,2026-01-25
727,18780,3.33,2026-01-25
728,18265,22.55,2026-01-25
729,16850,23.39,2026-01-25
730,23745,0.13,2026-01-25
731,24956,0.41,2026-01-25
732,14934,11.73,2026-01-25
733,5433,8.97,2026-01-25
734,22271,7.76,2026-01-25
735,16137,14.64,2026-01-25
736,26267,35.01,2026-01-25
737,766,43.99,2026-01-25
738,13133,0.13,2026-01-25
739,18297,0.40,2026-01-25
740,26959,0.24,2026-01-25
741,6187,0.56,2026-01-25
742,6917,0.53,2026-01-25
743,11335,0.29,2026-01-25
744,6503,440.09,2026-01-25
745,26147,376.66,2026-01-25
746,12390,0.20,2026-01-25
747,17832,6.03,2026-01-25
748,4193,4.71,2026-01-25
749,9534,29.60,2026-01-25
750,4762,21.89,2026-01-25
751,10684,0.12,2026-01-25
752,21453,0.48,2026-01-25
753,1572,80.12,2026-01-25
754,1740,17.60,2026-01-25
755,8517,18.32,2026-01-25
756,10820,0.15,2026-01-25
757,1397,0.22,2026-01-25
758,4514,2.11,2026-01-25
759,11782,22.10,2026-01-25
760,1180,35.74,2026-01-25
761,4176,0.28,2026-01-25
762,7262,0.44,2026-01-25
763,25669,6.67,2026-01-25
764,18460,20.50,2026-01-25
765,22577,0.33,2026-01-25
766,23032,0.72,2026-01-25
767,3544,0.87,2026-01-25
768,4922,0.39,2026-01-25
769,16164,0.86,2026-01-25
770,5112,0.52,2026-01-25
771,9602,0.21,2026-01-25
772,8860,0.73,2026-01-25
773,26967,72.03,2026-01-25
774,3936,73.27,2026-01-25
775,13617,0.94,2026-01-25
776,25519,2.12,2026-01-25
777,12688,2.03,2026-01-25
778,1585,3.00,2026-01-25
779,15430,0.19,2026-01-25
780,22763,0.66,2026-01-25
781,16186,35.24,2026-01-25
782,2972,1.39,2026-01-25
783,9227,4.93,2026-01-25
784,16625,11.99,2026-01-25
785,19175,9.98,2026-01-25
786,22385,0.19,2026-01-25
787,5345,0.64,2026-01-25
788,13168,0.59,2026-01-25
789,15406,1.50,2026-01-25
790,26715,0.15,2026-01-25
791,26749,0.39,2026-01-25
792,7889,0.49,2026-01-25
793,27010,0.32,2026-01-25
794,16400,84.22,2026-01-25
795,23588,76.25,2026-01-25
796,20042,0.55,2026-01-25
797,21071,0.65,2026-01-25
798,11366,112.69,2026-01-25
799,23533,119.95,2026-01-25
800,20487,2.10,2026-01-25
801,22476,7.46,2026-01-25
802,11880,39.43,2026-01-25
803,1132,7.60,2026-01-25
804,24754,7.97,2026-01-25
805,3092,0.07,2026-01-25
806,861,0.19,2026-01-25
807,14567,0.15,2026-01-25
808,22559,0.50,2026-01-25
809,12825,0.43,2026-01-25
810,777,0.85,2026-01-25
811,18692,0.18,2026-01-25
812,14597,0.51,2026-01-25
813,24139,18.99,2026-01-25
814,7327,28.67,2026-01-25
815,3718,107.17,2026-01-25
816,12726,13.19,2026-01-25
817,8304,51.66,2026-01-25
818,11436,6.80,2026-01-25
819,13227,15.70,2026-01-25
820,22969,25.80,2026-01-25
821,10869,6.58,2026-01-25
822,21144,5.80,2026-01-25
823,4998,6.41,2026-01-25
824,22339,64.04,2026-01-25
825,23264,36.32,2026-01-25
826,24238,104.14,2026-01-25
827,15812,125.00,2026-01-25
828,19566,1.05,2026-01-25
829,23242,14.71,2026-01-25
830,915,8.72,2026-01-25
831,23629,6.61,2026-01-25
832,10061,181.96,2026-01-25
833,26775,74.87,2026-01-25
834,22040,231.11,2026-01-25
835,3616,149.62,2026-01-25
836,18945,2.04,2026-01-25
837,1551,1.67,2026-01-25
838,25281,15.53,2026-01-25
839,17836,4.96,2026-01-25
840,17328,4.51,2026-01-25
841,2759,0.20,2026-01-25
842,2743,0.45,2026-01-25
843,486,6.41,2026-01-25
844,3582,7.44,2026-01-25
845,9452,5.97,2026-01-25
846,19433,22.33,2026-01-25
847,4026,37.49,2026-01-25
848,7854,6.64,2026-01-25
849,13131,1.50,2026-01-25
850,16123,2.69,2026-01-25
851,13530,0.17,2026-01-25
852,20377,0.38,2026-01-25
853,6440,7.64,2026-01-25
854,4619,137.08,2026-01-25
855,1086,0.40,2026-01-25
856,15633,0.16,2026-01-25
857,13914,29.41,2026-01-25
858,13782,0.12,2026-01-25
859,82,0.26,2026-01-25
860,12980,35.00,2026-01-25
861,15999,15.55,2026-01-25
862,24486,11.46,2026-01-25
863,25515,0.17,2026-01-25
864,16702,0.51,2026-01-25
865,24849,7.21,2026-01-25
866,10597,9.05,2026-01-25
867,8955,16.90,2026-01-25
868,25148,3.27,2026-01-25
869,13053,4.37,2026-01-25
870,8775,8.22,2026-01-25
871,12641,3.70,2026-01-25
872,22977,29.66,2026-01-25
873,17946,29.83,2026-01-25
874,24714,0.23,2026-01-25
875,16809,1.09,2026-01-25
