issue_id,creator_id,role
227,305,Writer
227,35,Penciler
228,346,Writer
228,442,Penciler
229,121,Writer
229,207,Penciler
230,62,Writer
230,483,Penciler
231,456,Writer
231,292,Penciler
232,127,Writer
232,297,Penciler
233,305,Writer
233,21,Penciler
234,318,Writer
234,42,Penciler
235,215,Writer
235,337,Penciler
236,299,Writer
236,290,Penciler
237,268,Writer
237,162,Penciler
238,479,Writer
238,134,Penciler
239,105,Writer
239,343,Penciler
240,367,Writer
240,161,Penciler
241,123,Writer
241,136,Penciler
242,203,Writer
242,68,Penciler
243,344,Writer
243,331,Penciler
244,154,Writer
244,235,Penciler
245,162,Writer
245,476,Penciler
246,385,Writer
246,480,Penciler
247,38,Writer
247,5,Penciler
248,235,Writer
248,319,Penciler
249,289,Writer
249,52,Penciler
250,38,Writer
250,276,Penciler
251,110,Writer
251,260,Penciler
252,136,Writer
252,68,Penciler
253,478,Writer
253,179,Penciler
254,452,Writer
254,36,Penciler
255,451,Writer
255,126,Penciler
256,190,Writer
256,146,Penciler
257,81,Writer
257,225,Penciler
258,427,Writer
258,279,Penciler
259,361,Writer
259,155,Penciler
260,314,Writer
260,414,Penciler
261,335,Writer
261,271,Penciler
262,5,Writer
262,342,Penciler
263,419,Writer
263,284,Penciler
264,154,Writer
264,478,Penciler
265,340,Writer
265,54,Penciler
266,481,Writer
266,450,Penciler
267,69,Writer
267,136,Penciler
268,60,Writer
268,456,Penciler
269,55,Writer
269,381,Penciler
270,284,Writer
270,80,Penciler
271,140,Writer
271,145,Penciler
272,310,Writer
272,108,Penciler
273,368,Writer
273,176,Penciler
274,105,Writer
274,352,Penciler
275,325,Writer
275,437,Penciler
276,136,Writer
276,259,Penciler
277,251,Writer
277,129,Penciler
278,464,Writer
278,465,Penciler
279,434,Writer
279,27,Penciler
280,48,Writer
280,325,Penciler
281,217,Writer
281,425,Penciler
282,142,Writer
282,23,Penciler
283,2,Writer
283,171,Penciler
284,395,Writer
284,67,Penciler
285,327,Writer
285,135,Penciler
286,83,Writer
286,380,Penciler
287,227,Writer
287,283,Penciler
288,362,Writer
288,219,Penciler
289,288,Writer
289,5,Penciler
290,58,Writer
290,39,Penciler
291,484,Writer
291,453,Penciler
292,354,Writer
292,463,Penciler
293,77,Writer
293,280,Penciler
294,19,Writer
294,428,Penciler
295,190,Writer
295,299,Penciler
296,283,Writer
296,76,Penciler
297,221,Writer
297,66,Penciler
298,22,Writer
298,158,Penciler
299,187,Writer
299,461,Penciler
300,478,Writer
300,408,Penciler
301,498,Writer
301,441,Penciler
302,21,Writer
302,461,Penciler
303,184,Writer
303,108,Penciler
304,350,Writer
304,128,Penciler
305,342,Writer
305,53,Penciler
306,182,Writer
306,400,Penciler
307,287,Writer
307,453,Penciler
308,448,Writer
308,209,Penciler
309,499,Writer
309,318,Penciler
310,384,Writer
310,80,Penciler
311,474,Writer
311,477,Penciler
312,122,Writer
312,443,Penciler
313,84,Writer
313,500,Penciler
314,410,Writer
314,416,Penciler
315,91,Writer
315,452,Penciler
316,212,Writer
316,13,Penciler
317,92,Writer
317,378,Penciler
318,474,Writer
318,171,Penciler
319,401,Writer
319,477,Penciler
320,211,Writer
320,411,Penciler
321,343,Writer
321,443,Penciler
322,377,Writer
322,416,Penciler
323,128,Writer
323,137,Penciler
324,82,Writer
324,404,Penciler
325,360,Writer
325,56,Penciler
326,196,Writer
326,447,Penciler
327,20,Writer
327,440,Penciler
328,241,Writer
328,114,Penciler
329,103,Writer
329,419,Penciler
330,471,Writer
330,236,Penciler
331,180,Writer
331,157,Penciler
332,421,Writer
332,408,Penciler
333,447,Writer
333,117,Penciler
334,115,Writer
334,13,Penciler
335,338,Writer
335,99,Penciler
336,205,Writer
336,169,Penciler
337,143,Writer
337,443,Penciler
338,36,Writer
338,496,Penciler
339,396,Writer
339,143,Penciler
340,180,Writer
340,329,Penciler
341,261,Writer
341,205,Penciler
342,348,Writer
342,432,Penciler
343,275,Writer
343,170,Penciler
344,481,Writer
344,15,Penciler
345,60,Writer
345,450,Penciler
346,497,Writer
346,134,Penciler
347,92,Writer
347,298,Penciler
348,493,Writer
348,136,Penciler
349,20,Writer
349,56,Penciler
350,306,Writer
350,223,Penciler
351,177,Writer
351,374,Penciler
352,403,Writer
352,161,Penciler
353,224,Writer
353,311,Penciler
354,262,Writer
354,60,Penciler
355,198,Writer
355,461,Penciler
356,296,Writer
356,98,Penciler
357,131,Writer
357,23,Penciler
358,363,Writer
358,224,Penciler
359,1,Writer
359,267,Penciler
360,474,Writer
360,413,Penciler
361,276,Writer
361,352,Penciler
362,369,Writer
362,482,Penciler
363,380,Writer
363,378,Penciler
364,344,Writer
364,101,Penciler
365,187,Writer
365,221,Penciler
366,36,Writer
366,486,Penciler
367,341,Writer
367,472,Penciler
368,170,Writer
368,320,Penciler
369,161,Writer
369,340,Penciler
370,435,Writer
370,64,Penciler
371,369,Writer
371,461,Penciler
372,154,Writer
372,260,Penciler
373,159,Writer
373,342,Penciler
374,210,Writer
374,168,Penciler
375,207,Writer
375,357,Penciler
376,152,Writer
376,284,Penciler
377,66,Writer
377,99,Penciler
378,216,Writer
378,341,Penciler
379,482,Writer
379,195,Penciler
380,347,Writer
380,384,Penciler
381,463,Writer
381,90,Penciler
382,316,Writer
382,292,Penciler
383,155,Writer
383,208,Penciler
384,281,Writer
384,427,Penciler
385,1,Writer
385,156,Penciler
386,147,Writer
386,108,Penciler
387,221,Writer
387,403,Penciler
388,297,Writer
388,311,Penciler
389,336,Writer
389,165,Penciler
390,239,Writer
390,227,Penciler
391,227,Writer
391,346,Penciler
392,110,Writer
392,262,Penciler
393,243,Writer
393,407,Penciler
394,462,Writer
394,492,Penciler
395,408,Writer
395,377,Penciler
396,87,Writer
396,338,Penciler
397,44,Writer
397,146,Penciler
398,264,Writer
398,340,Penciler
399,325,Writer
399,318,Penciler
400,172,Writer
400,48,Penciler
401,420,Writer
401,488,Penciler
402,385,Writer
402,121,Penciler
403,345,Writer
403,159,Penciler
404,116,Writer
404,413,Penciler
405,102,Writer
405,76,Penciler
406,13,Writer
406,24,Penciler
407,126,Writer
407,244,Penciler
408,313,Writer
408,436,Penciler
409,394,Writer
409,38,Penciler
410,234,Writer
410,213,Penciler
411,454,Writer
411,323,Penciler
412,295,Writer
412,100,Penciler
413,368,Writer
413,357,Penciler
414,197,Writer
414,254,Penciler
415,205,Writer
415,125,Penciler
416,76,Writer
416,336,Penciler
417,353,Writer
417,3,Penciler
418,458,Writer
418,385,Penciler
419,441,Writer
419,395,Penciler
420,454,Writer
420,55,Penciler
421,399,Writer
421,218,Penciler
422,113,Writer
422,91,Penciler
423,412,Writer
423,491,Penciler
424,357,Writer
424,266,Penciler
425,238,Writer
425,26,Penciler
426,286,Writer
426,128,Penciler
427,470,Writer
427,435,Penciler
428,63,Writer
428,234,Penciler
429,69,Writer
429,411,Penciler
430,238,Writer
430,342,Penciler
431,272,Writer
431,287,Penciler
432,305,Writer
432,163,Penciler
433,487,Writer
433,387,Penciler
434,457,Writer
434,227,Penciler
435,314,Writer
435,418,Penciler
436,369,Writer
436,457,Penciler
437,259,Writer
437,219,Penciler
438,426,Writer
438,465,Penciler
439,281,Writer
439,229,Penciler
440,460,Writer
440,82,Penciler
441,381,Writer
441,442,Penciler
442,244,Writer
442,231,Penciler
443,133,Writer
443,385,Penciler
444,127,Writer
444,431,Penciler
445,327,Writer
445,142,Penciler
446,393,Writer
446,399,Penciler
447,267,Writer
447,249,Penciler
448,321,Writer
448,123,Penciler
449,141,Writer
449,226,Penciler
450,40,Writer
450,366,Penciler
451,147,Writer
451,121,Penciler
452,140,Writer
452,172,Penciler
453,164,Writer
453,458,Penciler
454,277,Writer
454,42,Penciler
455,71,Writer
455,78,Penciler
456,119,Writer
456,197,Penciler
457,356,Writer
457,79,Penciler
458,362,Writer
458,110,Penciler
459,33,Writer
459,213,Penciler
460,209,Writer
460,170,Penciler
461,278,Writer
461,239,Penciler
462,213,Writer
462,32,Penciler
463,106,Writer
463,427,Penciler
464,216,Writer
464,200,Penciler
465,464,Writer
465,395,Penciler
466,300,Writer
466,485,Penciler
467,357,Writer
467,11,Penciler
468,439,Writer
468,451,Penciler
469,392,Writer
469,295,Penciler
470,195,Writer
470,245,Penciler
471,4,Writer
471,483,Penciler
472,181,Writer
472,153,Penciler
473,386,Writer
473,200,Penciler
474,437,Writer
474,457,Penciler
475,489,Writer
475,428,Penciler
476,215,Writer
476,276,Penciler
477,383,Writer
477,377,Penciler
478,280,Writer
478,410,Penciler
479,309,Writer
479,460,Penciler
480,113,Writer
480,250,Penciler
481,113,Writer
481,140,Penciler
482,224,Writer
482,249,Penciler
483,15,Writer
483,200,Penciler
484,173,Writer
484,343,Penciler
485,348,Writer
485,409,Penciler
486,208,Writer
486,371,Penciler
487,85,Writer
487,431,Penciler
488,240,Writer
488,471,Penciler
489,66,Writer
489,319,Penciler
490,274,Writer
490,14,Penciler
491,465,Writer
491,202,Penciler
492,304,Writer
492,289,Penciler
493,340,Writer
493,14,Penciler
494,43,Writer
494,330,Penciler
495,220,Writer
495,70,Penciler
496,444,Writer
496,237,Penciler
497,94,Writer
497,26,Penciler
498,134,Writer
498,195,Penciler
499,168,Writer
499,109,Penciler
500,233,Writer
500,168,Penciler
501,173,Writer
501,390,Penciler
502,451,Writer
502,195,Penciler
503,143,Writer
503,386,Penciler
504,488,Writer
504,426,Penciler
505,216,Writer
505,130,Penciler
506,428,Writer
506,42,Penciler
507,241,Writer
507,10,Penciler
508,384,Writer
508,277,Penciler
509,27,Writer
509,488,Penciler
510,180,Writer
510,115,Penciler
511,333,Writer
511,36,Penciler
512,400,Writer
512,491,Penciler
513,334,Writer
513,21,Penciler
514,387,Writer
514,16,Penciler
515,487,Writer
515,127,Penciler
516,103,Writer
516,430,Penciler
517,11,Writer
517,319,Penciler
518,79,Writer
518,123,Penciler
519,65,Writer
519,243,Penciler
520,343,Writer
520,59,Penciler
521,289,Writer
521,486,Penciler
522,112,Writer
522,239,Penciler
523,359,Writer
523,132,Penciler
524,393,Writer
524,189,Penciler
525,86,Writer
525,311,Penciler
526,311,Writer
526,494,Penciler
527,383,Writer
527,368,Penciler
528,59,Writer
528,399,Penciler
529,420,Writer
529,84,Penciler
530,494,Writer
530,160,Penciler
531,56,Writer
531,297,Penciler
532,14,Writer
532,476,Penciler
533,160,Writer
533,295,Penciler
534,347,Writer
534,465,Penciler
535,491,Writer
535,193,Penciler
536,204,Writer
536,483,Penciler
537,367,Writer
537,102,Penciler
538,39,Writer
538,304,Penciler
539,354,Writer
539,426,Penciler
540,322,Writer
540,125,Penciler
541,53,Writer
541,357,Penciler
542,396,Writer
542,155,Penciler
543,436,Writer
543,351,Penciler
544,308,Writer
544,413,Penciler
545,62,Writer
545,408,Penciler
546,290,Writer
546,401,Penciler
547,22,Writer
547,178,Penciler
548,273,Writer
548,220,Penciler
549,339,Writer
549,190,Penciler
550,36,Writer
550,260,Penciler
551,332,Writer
551,175,Penciler
552,7,Writer
552,435,Penciler
553,216,Writer
553,422,Penciler
554,251,Writer
554,55,Penciler
555,222,Writer
555,492,Penciler
556,186,Writer
556,326,Penciler
557,457,Writer
557,425,Penciler
558,236,Writer
558,363,Penciler
559,79,Writer
559,223,Penciler
560,91,Writer
560,376,Penciler
561,268,Writer
561,495,Penciler
562,334,Writer
562,139,Penciler
563,316,Writer
563,414,Penciler
564,471,Writer
564,276,Penciler
565,397,Writer
565,248,Penciler
566,239,Writer
566,224,Penciler
567,423,Writer
567,375,Penciler
568,304,Writer
568,138,Penciler
569,166,Writer
569,437,Penciler
570,126,Writer
570,426,Penciler
571,479,Writer
571,45,Penciler
572,143,Writer
572,452,Penciler
573,231,Writer
573,125,Penciler
574,385,Writer
574,238,Penciler
575,292,Writer
575,313,Penciler
576,343,Writer
576,195,Penciler
577,173,Writer
577,15,Penciler
578,254,Writer
578,436,Penciler
579,167,Writer
579,94,Penciler
580,250,Writer
580,109,Penciler
581,182,Writer
581,409,Penciler
582,133,Writer
582,175,Penciler
583,144,Writer
583,451,Penciler
584,306,Writer
584,360,Penciler
585,451,Writer
585,142,Penciler
586,285,Writer
586,6,Penciler
587,265,Writer
587,486,Penciler
588,98,Writer
588,44,Penciler
589,124,Writer
589,369,Penciler
590,209,Writer
590,251,Penciler
591,285,Writer
591,389,Penciler
592,124,Writer
592,354,Penciler
593,244,Writer
593,331,Penciler
594,365,Writer
594,252,Penciler
595,230,Writer
595,406,Penciler
596,9,Writer
596,48,Penciler
597,151,Writer
597,114,Penciler
598,208,Writer
598,355,Penciler
599,125,Writer
599,157,Penciler
600,340,Writer
600,298,Penciler
601,189,Writer
601,243,Penciler
602,284,Writer
602,272,Penciler
603,177,Writer
603,218,Penciler
604,382,Writer
604,282,Penciler
605,170,Writer
605,181,Penciler
606,360,Writer
606,233,Penciler
607,139,Writer
607,157,Penciler
608,129,Writer
608,119,Penciler
609,62,Writer
609,370,Penciler
610,99,Writer
610,162,Penciler
611,62,Writer
611,381,Penciler
612,275,Writer
612,487,Penciler
613,391,Writer
613,354,Penciler
614,95,Writer
614,99,Penciler
615,111,Writer
615,379,Penciler
616,248,Writer
616,142,Penciler
617,371,Writer
617,302,Penciler
618,390,Writer
618,269,Penciler
619,306,Writer
619,145,Penciler
620,52,Writer
620,427,Penciler
621,100,Writer
621,152,Penciler
622,117,Writer
622,185,Penciler
623,92,Writer
623,155,Penciler
624,8,Writer
624,363,Penciler
625,274,Writer
625,65,Penciler
626,141,Writer
626,24,Penciler
627,499,Writer
627,28,Penciler
628,284,Writer
628,150,Penciler
629,358,Writer
629,484,Penciler
630,65,Writer
630,327,Penciler
631,445,Writer
631,386,Penciler
632,252,Writer
632,53,Penciler
633,447,Writer
633,7,Penciler
634,294,Writer
634,146,Penciler
635,241,Writer
635,246,Penciler
636,226,Writer
636,175,Penciler
637,95,Writer
637,495,Penciler
638,27,Writer
638,130,Penciler
639,482,Writer
639,442,Penciler
640,245,Writer
640,59,Penciler
641,421,Writer
641,34,Penciler
642,206,Writer
642,252,Penciler
643,38,Writer
643,296,Penciler
644,323,Writer
644,352,Penciler
645,28,Writer
645,78,Penciler
646,77,Writer
646,416,Penciler
647,289,Writer
647,486,Penciler
648,156,Writer
648,44,Penciler
649,128,Writer
649,61,Penciler
650,286,Writer
650,392,Penciler
651,214,Writer
651,311,Penciler
652,306,Writer
652,405,Penciler
653,317,Writer
653,116,Penciler
654,398,Writer
654,268,Penciler
655,195,Writer
655,231,Penciler
656,466,Writer
656,227,Penciler
657,153,Writer
657,441,Penciler
658,302,Writer
658,220,Penciler
659,157,Writer
659,292,Penciler
660,318,Writer
660,31,Penciler
661,313,Writer
661,492,Penciler
662,379,Writer
662,51,Penciler
663,486,Writer
663,391,Penciler
664,107,Writer
664,321,Penciler
665,109,Writer
665,136,Penciler
666,339,Writer
666,42,Penciler
667,81,Writer
667,123,Penciler
668,89,Writer
668,283,Penciler
669,39,Writer
669,81,Penciler
670,2,Writer
670,210,Penciler
671,231,Writer
671,353,Penciler
672,305,Writer
672,241,Penciler
673,150,Writer
673,17,Penciler
674,119,Writer
674,148,Penciler
675,362,Writer
675,145,Penciler
676,360,Writer
676,441,Penciler
677,233,Writer
677,37,Penciler
678,352,Writer
678,120,Penciler
679,474,Writer
679,136,Penciler
680,404,Writer
680,406,Penciler
681,321,Writer
681,302,Penciler
682,339,Writer
682,412,Penciler
683,479,Writer
683,102,Penciler
684,218,Writer
684,59,Penciler
685,279,Writer
685,116,Penciler
686,332,Writer
686,77,Penciler
687,466,Writer
687,137,Penciler
688,424,Writer
688,73,Penciler
689,37,Writer
689,31,Penciler
690,85,Writer
690,406,Penciler
691,158,Writer
691,305,Penciler
692,384,Writer
692,423,Penciler
693,292,Writer
693,472,Penciler
694,148,Writer
694,225,Penciler
695,64,Writer
695,240,Penciler
696,353,Writer
696,156,Penciler
697,359,Writer
697,207,Penciler
698,483,Writer
698,140,Penciler
699,257,Writer
699,277,Penciler
700,253,Writer
700,225,Penciler
701,42,Writer
701,307,Penciler
702,21,Writer
702,456,Penciler
703,222,Writer
703,377,Penciler
704,166,Writer
704,310,Penciler
705,129,Writer
705,14,Penciler
706,47,Writer
706,118,Penciler
707,493,Writer
707,346,Penciler
708,429,Writer
708,441,Penciler
709,295,Writer
709,301,Penciler
710,487,Writer
710,11,Penciler
711,392,Writer
711,345,Penciler
712,421,Writer
712,138,Penciler
713,296,Writer
713,21,Penciler
714,391,Writer
714,388,Penciler
715,90,Writer
715,241,Penciler
716,266,Writer
716,334,Penciler
717,227,Writer
717,470,Penciler
718,143,Writer
718,93,Penciler
719,300,Writer
719,224,Penciler
720,326,Writer
720,417,Penciler
721,252,Writer
721,497,Penciler
722,47,Writer
722,241,Penciler
723,179,Writer
723,210,Penciler
724,171,Writer
724,165,Penciler
725,344,Writer
725,54,Penciler
726,440,Writer
726,83,Penciler
727,169,Writer
727,211,Penciler
728,356,Writer
728,254,Penciler
729,148,Writer
729,340,Penciler
730,484,Writer
730,206,Penciler
731,417,Writer
731,390,Penciler
732,282,Writer
732,19,Penciler
733,233,Writer
733,46,Penciler
734,162,Writer
734,130,Penciler
735,166,Writer
735,60,Penciler
736,497,Writer
736,396,Penciler
737,207,Writer
737,443,Penciler
738,264,Writer
738,423,Penciler
739,1,Writer
739,337,Penciler
740,446,Writer
740,278,Penciler
741,237,Writer
741,212,Penciler
742,28,Writer
742,97,Penciler
743,266,Writer
743,186,Penciler
744,319,Writer
744,388,Penciler
745,256,Writer
745,321,Penciler
746,227,Writer
746,390,Penciler
747,27,Writer
747,105,Penciler
748,137,Writer
748,282,Penciler
749,68,Writer
749,475,Penciler
750,148,Writer
750,225,Penciler
751,451,Writer
751,358,Penciler
752,249,Writer
752,63,Penciler
753,15,Writer
753,499,Penciler
754,323,Writer
754,312,Penciler
755,410,Writer
755,123,Penciler
756,364,Writer
756,82,Penciler
757,160,Writer
757,283,Penciler
758,8,Writer
758,283,Penciler
759,209,Writer
759,48,Penciler
760,116,Writer
760,431,Penciler
761,468,Writer
761,59,Penciler
762,237,Writer
762,485,Penciler
763,61,Writer
763,332,Penciler
764,427,Writer
764,79,Penciler
765,256,Writer
765,478,Penciler
766,367,Writer
766,150,Penciler
767,261,Writer
767,362,Penciler
768,140,Writer
768,213,Penciler
769,428,Writer
769,248,Penciler
770,242,Writer
770,125,Penciler
771,234,Writer
771,283,Penciler
772,75,Writer
772,197,Penciler
773,98,Writer
773,472,Penciler
774,307,Writer
774,261,Penciler
775,383,Writer
775,451,Penciler
776,70,Writer
776,443,Penciler
777,36,Writer
777,142,Penciler
778,396,Writer
778,405,Penciler
779,438,Writer
779,213,Penciler
780,175,Writer
780,479,Penciler
781,404,Writer
781,260,Penciler
782,137,Writer
782,421,Penciler
783,2,Writer
783,145,Penciler
784,372,Writer
784,153,Penciler
785,429,Writer
785,301,Penciler
786,297,Writer
786,338,Penciler
787,251,Writer
787,444,Penciler
788,77,Writer
788,229,Penciler
789,276,Writer
789,248,Penciler
790,177,Writer
790,171,Penciler
791,283,Writer
791,391,Penciler
792,279,Writer
792,194,Penciler
793,234,Writer
793,478,Penciler
794,165,Writer
794,446,Penciler
795,97,Writer
795,358,Penciler
796,123,Writer
796,293,Penciler
797,197,Writer
797,120,Penciler
798,439,Writer
798,398,Penciler
799,211,Writer
799,23,Penciler
800,163,Writer
800,382,Penciler
801,243,Writer
801,362,Penciler
802,468,Writer
802,416,Penciler
803,196,Writer
803,198,Penciler
804,340,Writer
804,406,Penciler
805,421,Writer
805,334,Penciler
806,78,Writer
806,254,Penciler
807,494,Writer
807,19,Penciler
808,65,Writer
808,258,Penciler
809,495,Writer
809,303,Penciler
810,170,Writer
810,446,Penciler
811,52,Writer
811,448,Penciler
812,433,Writer
812,226,Penciler
813,52,Writer
813,270,Penciler
814,467,Writer
814,234,Penciler
815,8,Writer
815,370,Penciler
816,74,Writer
816,210,Penciler
817,446,Writer
817,336,Penciler
818,497,Writer
818,80,Penciler
819,39,Writer
819,241,Penciler
820,401,Writer
820,497,Penciler
821,136,Writer
821,174,Penciler
822,320,Writer
822,355,Penciler
