issue_id,character_id,appearance
2092,485,Supporting
791,300,Cameo
2576,263,Supporting
2477,255,Supporting
1084,74,Main
1945,17,Main
1928,30,Main
2698,195,Cameo
359,287,Main
2075,154,Death
2587,58,Main
178,398,Supporting
2916,83,Main
1807,430,Main
2638,409,Main
1405,510,Cameo
692,1,Main
2652,63,Supporting
38,38,Main
2679,156,Main
17,409,Main
483,125,Supporting
33,393,Cameo
2286,492,Cameo
2996,42,Supporting
1262,168,Main
1675,424,Main
1150,358,Main
1388,37,Supporting
1087,35,Supporting
2425,301,Cameo
2639,360,Cameo
580,129,Main
257,234,Supporting
1339,134,Main
1694,269,Flashback
1018,352,Supporting
623,375,Main
501,522,Cameo
829,482,Main
1404,465,Cameo
1968,314,Main
2618,432,Death
1736,156,Main
2868,334,Supporting
2108,314,Supporting
2119,276,Main
325,437,Supporting
2650,587,Supporting
1726,101,Main
1319,385,Supporting
700,410,Supporting
263,265,Supporting
1500,337,Supporting
353,303,Main
1865,15,Main
2763,17,Cameo
1988,195,Supporting
1876,343,Supporting
372,106,Supporting
2160,431,Supporting
937,123,Cameo
2137,529,Main
1390,338,Main
371,431,Main
1750,89,Supporting
2542,379,Cameo
1218,174,Main
1023,333,Cameo
1480,243,Main
2512,308,Main
2900,398,Main
2398,332,Supporting
1149,282,Main
50,600,Supporting
2293,160,Supporting
2124,144,Cameo
2641,343,Cameo
2373,437,Main
48,517,Main
2854,491,Flashback
561,348,Main
2220,513,Main
2297,344,Main
2402,81,Flashback
731,398,Main
2235,428,Main
898,377,Main
2430,498,Main
1390,327,Main
781,547,Supporting
698,160,Main
2981,279,Main
495,457,Main
2058,580,Main
1988,313,Death
2156,148,Main
2167,154,Supporting
1806,362,Supporting
2128,464,Main
181,477,Supporting
281,47,Cameo
500,237,Main
1790,597,Cameo
2381,225,Main
2569,513,Main
2761,222,Main
2066,498,Main
1576,255,Supporting
615,538,Main
2898,515,Main
2647,558,Main
2621,265,Cameo
1995,370,Supporting
1881,229,Cameo
1674,559,Supporting
1504,50,Supporting
1236,321,Main
1366,183,Main
305,540,Supporting
348,20,Supporting
100,204,Main
215,252,Main
548,487,Main
402,475,Supporting
2171,403,Main
1145,314,Cameo
2256,505,Cameo
2857,517,Flashback
981,435,Death
154,43,Cameo
2490,518,Main
2638,378,Supporting
2230,189,Cameo
290,303,Cameo
2577,104,Main
687,481,Main
2276,584,Main
2106,572,Main
513,117,Main
537,555,Main
9,445,Supporting
1730,552,Flashback
1120,258,Supporting
2400,295,Supporting
357,463,Main
549,134,Main
720,286,Flashback
2268,32,Main
657,468,Main
1376,523,Supporting
1576,585,Main
523,515,Flashback
1088,252,Cameo
1187,141,Cameo
214,339,Main
1173,57,Cameo
22,362,Main
2584,216,Supporting
2869,292,Main
803,463,Cameo
1528,13,Supporting
2672,394,Death
2328,177,Main
2815,166,Main
1933,381,Main
1047,89,Supporting
2229,140,Cameo
729,520,Main
226,147,Main
892,440,Cameo
361,222,Supporting
2327,175,Main
887,517,Supporting
2933,287,Flashback
2776,297,Main
658,150,Main
2667,3,Flashback
1847,548,Main
31,458,Death
1653,298,Main
2742,131,Cameo
1860,39,Main
422,237,Death
1519,587,Supporting
2950,241,Death
361,180,Supporting
2390,513,Main
364,521,Supporting
2776,3,Main
522,205,Flashback
415,169,Main
575,362,Cameo
1109,526,Flashback
1151,405,Main
2025,313,Main
1334,351,Main
1849,321,Supporting
2330,274,Main
524,345,Main
577,327,Supporting
2195,374,Supporting
258,82,Main
2340,272,Main
1531,9,Supporting
1733,380,Main
701,350,Main
626,155,Cameo
2301,24,Supporting
2892,157,Main
697,584,Main
2874,297,Cameo
100,331,Main
1738,568,Main
810,213,Cameo
668,37,Main
2256,466,Main
369,88,Main
2454,458,Cameo
821,40,Main
2123,433,Main
2947,353,Main
2879,570,Main
2372,563,Main
1904,110,Supporting
649,83,Main
1640,571,Supporting
2605,242,Supporting
1464,354,Main
1413,105,Main
2741,599,Main
1034,414,Main
967,51,Supporting
2216,7,Main
2720,5,Supporting
707,497,Cameo
526,505,Supporting
1764,15,Main
500,92,Main
1702,242,Death
494,67,Main
2088,274,Supporting
1397,468,Supporting
2650,197,Cameo
2809,230,Cameo
2121,104,Cameo
1025,20,Main
1172,503,Main
2387,408,Main
1083,442,Main
1359,109,Main
1228,328,Main
2352,454,Supporting
420,467,Supporting
33,281,Main
404,72,Main
1824,332,Main
2311,196,Main
12,421,Supporting
430,494,Main
2877,354,Supporting
2534,502,Main
1960,489,Main
466,440,Main
1184,61,Cameo
324,399,Flashback
1313,578,Main
1047,369,Main
2507,485,Main
2770,32,Supporting
2445,200,Main
1314,590,Main
1758,110,Main
2192,576,Main
2033,324,Main
1253,567,Death
2759,48,Death
693,510,Main
2795,245,Main
1134,416,Main
2874,488,Main
2579,45,Main
574,511,Main
2799,511,Cameo
1272,202,Death
1253,484,Main
2802,58,Main
705,442,Cameo
45,502,Main
1577,580,Supporting
885,345,Supporting
2139,193,Supporting
2946,566,Cameo
1834,115,Flashback
2915,414,Cameo
1323,585,Supporting
1161,309,Main
70,232,Main
803,127,Main
2599,523,Flashback
2987,580,Flashback
1046,163,Main
526,337,Supporting
422,369,Cameo
1557,329,Main
2783,556,Main
1976,223,Main
756,24,Main
1787,520,Cameo
821,274,Main
489,537,Cameo
74,297,Supporting
242,12,Main
1617,505,Main
2153,507,Flashback
518,275,Main
523,573,Main
884,54,Main
2368,188,Main
948,534,Main
2287,183,Cameo
2024,26,Cameo
2922,410,Supporting
647,69,Supporting
1445,502,Death
309,369,Main
952,126,Flashback
1347,247,Cameo
930,456,Supporting
1567,44,Main
478,540,Cameo
983,419,Supporting
655,599,Supporting
771,213,Main
303,345,Main
1950,562,Death
851,11,Main
796,29,Supporting
1553,317,Main
1318,567,Supporting
2247,594,Death
1988,314,Supporting
2690,560,Main
2638,550,Supporting
2801,197,Flashback
399,560,Cameo
2684,250,Supporting
75,133,Death
356,335,Supporting
982,159,Death
27,548,Flashback
2876,421,Death
2949,387,Supporting
582,516,Main
1184,484,Main
357,66,Cameo
2431,518,Cameo
241,302,Supporting
458,417,Main
775,256,Main
707,571,Supporting
1513,490,Cameo
255,106,Main
2477,418,Main
2332,426,Main
2639,444,Supporting
2884,10,Main
1665,431,Supporting
190,210,Main
2767,454,Supporting
857,577,Supporting
2315,417,Main
729,590,Main
280,209,Main
1155,69,Cameo
2233,215,Supporting
2800,74,Supporting
1413,388,Main
1389,48,Supporting
717,134,Supporting
41,281,Main
2767,226,Main
2429,134,Main
2756,29,Cameo
1146,523,Flashback
724,285,Main
2242,219,Supporting
887,362,Main
603,32,Main
2796,65,Cameo
2410,19,Main
2905,496,Main
1134,144,Main
710,51,Supporting
1510,551,Supporting
2519,27,Supporting
1478,77,Main
1162,553,Flashback
2430,517,Main
522,20,Flashback
2198,430,Main
1680,282,Main
2189,273,Main
1526,168,Main
2411,534,Cameo
750,64,Cameo
2342,43,Main
1615,411,Main
433,372,Main
1077,504,Main
654,249,Supporting
857,441,Main
1715,290,Main
2154,299,Supporting
1375,8,Main
1468,20,Main
2070,49,Supporting
419,329,Supporting
1836,416,Main
2558,403,Main
152,466,Cameo
1482,514,Main
2492,207,Cameo
2853,425,Death
542,178,Supporting
503,266,Flashback
2599,345,Supporting
1543,242,Supporting
1045,224,Cameo
2451,596,Cameo
285,179,Main
903,39,Main
2487,229,Death
1823,479,Supporting
253,406,Main
2069,488,Cameo
2981,49,Death
2625,83,Supporting
2766,68,Main
1576,600,Flashback
822,274,Supporting
225,338,Cameo
1396,392,Main
2774,169,Main
1846,281,Main
2622,454,Cameo
2100,303,Main
1894,122,Cameo
2744,65,Main
1405,410,Cameo
2282,429,Cameo
461,270,Cameo
1692,284,Death
2353,237,Cameo
342,473,Main
2450,12,Cameo
2102,489,Supporting
54,61,Cameo
1511,111,Death
2277,176,Supporting
1616,47,Main
1335,256,Main
1194,71,Cameo
469,2,Main
137,76,Main
552,74,Main
2590,588,Death
610,541,Cameo
2505,194,Main
2446,499,Death
1715,251,Main
2314,201,Death
909,54,Death
50,157,Cameo
698,556,Supporting
668,123,Main
35,42,Main
566,134,Main
1980,311,Supporting
1660,45,Main
1102,525,Supporting
646,257,Main
1780,26,Supporting
695,16,Cameo
717,475,Main
2898,596,Main
1099,323,Main
2286,191,Main
2606,174,Cameo
1773,136,Main
677,503,Main
1358,219,Supporting
776,502,Main
925,455,Main
308,191,Main
1093,37,Death
2197,353,Main
813,147,Supporting
1685,340,Flashback
929,121,Main
1080,531,Main
2179,182,Flashback
2494,51,Main
1296,312,Main
975,270,Supporting
1347,280,Main
556,239,Main
295,427,Main
1507,187,Main
2709,566,Main
2741,473,Main
788,269,Supporting
1365,149,Cameo
1032,365,Cameo
1148,150,Supporting
244,363,Main
2797,504,Main
2656,523,Supporting
51,463,Cameo
2967,117,Main
2591,562,Cameo
2874,393,Main
2720,347,Main
172,25,Cameo
702,141,Main
650,445,Cameo
2290,571,Cameo
2397,369,Main
1955,2,Cameo
2004,30,Supporting
1979,196,Supporting
2786,239,Supporting
752,61,Main
2746,39,Main
49,92,Main
2291,51,Main
711,573,Cameo
461,4,Main
2228,543,Main
431,343,Main
1190,108,Main
2378,165,Main
1170,57,Cameo
1614,181,Supporting
572,364,Death
1502,378,Death
2090,494,Main
1959,596,Main
2716,310,Main
717,53,Main
2712,205,Death
2903,533,Main
257,384,Death
1975,338,Main
2499,415,Main
1088,155,Flashback
1606,415,Main
1988,186,Supporting
2092,274,Main
98,24,Main
1196,230,Cameo
402,41,Flashback
1778,63,Supporting
2980,27,Supporting
1881,47,Main
1001,12,Main
448,221,Death
129,516,Supporting
55,380,Main
717,210,Main
1434,512,Main
1459,124,Flashback
504,241,Death
1026,182,Supporting
2618,527,Main
344,287,Main
988,581,Supporting
2357,10,Main
1902,594,Death
2934,593,Supporting
2942,354,Supporting
1372,507,Main
2933,495,Main
1238,102,Supporting
420,434,Main
2275,192,Main
2886,204,Cameo
584,267,Main
1196,122,Supporting
1898,204,Supporting
2351,328,Supporting
623,370,Cameo
1091,29,Main
1311,275,Cameo
1581,243,Supporting
356,568,Main
85,11,Cameo
1601,143,Main
1727,98,Cameo
2287,307,Main
1934,429,Flashback
2620,501,Flashback
2463,521,Cameo
2159,577,Main
645,534,Main
1194,224,Main
2926,566,Supporting
2133,352,Cameo
637,328,Cameo
2278,525,Main
2337,408,Supporting
1459,171,Main
2966,330,Cameo
121,254,Supporting
1341,227,Supporting
1373,221,Main
2984,200,Main
1459,133,Main
2963,519,Main
1982,347,Main
1096,241,Cameo
261,190,Death
2582,421,Main
2408,459,Cameo
1009,108,Main
1851,186,Main
1506,309,Main
2107,435,Supporting
13,121,Supporting
2991,270,Flashback
2844,106,Main
3,552,Main
76,497,Main
1380,164,Main
2619,559,Death
1656,121,Supporting
1352,43,Death
1480,335,Main
201,551,Death
798,16,Main
475,356,Main
384,63,Flashback
1897,551,Main
249,254,Supporting
429,211,Cameo
362,600,Main
548,467,Main
251,203,Main
1579,442,Death
38,445,Main
2276,484,Supporting
2284,67,Cameo
2393,280,Supporting
2750,345,Main
252,404,Supporting
1390,332,Supporting
2939,582,Cameo
1354,182,Cameo
1091,185,Main
1285,61,Supporting
417,386,Cameo
427,345,Main
2564,401,Main
907,68,Main
906,16,Flashback
1017,7,Main
2762,360,Cameo
699,45,Supporting
651,208,Main
2535,388,Supporting
2099,562,Supporting
944,69,Main
2427,416,Main
2085,422,Main
2220,262,Death
1087,281,Main
616,116,Cameo
274,495,Cameo
1566,152,Cameo
2563,114,Main
2393,316,Main
1691,4,Main
60,8,Cameo
868,585,Main
2556,117,Main
559,361,Supporting
2869,157,Supporting
2397,572,Main
584,118,Main
2419,505,Cameo
352,191,Supporting
2764,288,Cameo
2879,203,Main
2864,146,Main
2007,241,Flashback
735,173,Supporting
1850,106,Main
2988,192,Main
2450,332,Cameo
1255,2,Supporting
1146,235,Cameo
2934,523,Supporting
2213,427,Supporting
1146,564,Main
114,402,Cameo
1525,407,Supporting
816,21,Supporting
2968,40,Main
2761,493,Main
1358,426,Cameo
1841,394,Cameo
960,273,Main
535,237,Main
1121,277,Main
86,258,Main
1262,177,Main
2977,12,Main
791,366,Main
401,298,Supporting
455,436,Flashback
2638,92,Main
2163,262,Main
1686,93,Flashback
1618,178,Cameo
552,413,Supporting
1714,146,Main
790,480,Main
1942,406,Flashback
2463,5,Main
1465,12,Cameo
1155,530,Main
62,222,Cameo
1269,420,Supporting
883,59,Death
1156,515,Cameo
2820,179,Main
1944,416,Supporting
595,480,Supporting
2115,1,Cameo
278,184,Main
2548,579,Main
2491,53,Cameo
1720,174,Supporting
1247,310,Main
1517,178,Cameo
824,39,Main
1382,499,Cameo
419,149,Supporting
1452,213,Main
2722,296,Supporting
2665,574,Cameo
304,202,Flashback
231,316,Cameo
1207,508,Main
531,123,Main
1379,269,Supporting
2197,186,Main
2293,570,Main
1309,470,Cameo
2391,184,Main
1745,161,Main
2301,305,Cameo
2611,20,Main
640,119,Main
1751,373,Supporting
1441,232,Main
1098,228,Cameo
355,480,Main
231,403,Main
2643,370,Supporting
206,492,Flashback
172,456,Death
253,479,Cameo
982,583,Death
891,335,Flashback
101,594,Main
2378,205,Supporting
367,534,Main
2104,247,Supporting
2145,331,Supporting
1046,393,Supporting
1609,386,Flashback
2925,399,Main
275,561,Supporting
173,597,Main
2866,1,Cameo
960,165,Cameo
2127,364,Main
2633,66,Supporting
2834,210,Main
2153,402,Main
2800,91,Main
1994,321,Main
75,497,Supporting
1488,406,Supporting
1750,562,Main
2008,509,Death
2346,55,Cameo
237,89,Cameo
2581,195,Supporting
2846,546,Main
1821,554,Main
294,593,Cameo
371,256,Supporting
264,121,Flashback
226,334,Supporting
1203,399,Main
1598,110,Flashback
1059,486,Supporting
1869,580,Main
2089,595,Main
2441,274,Supporting
926,254,Supporting
528,364,Supporting
1142,60,Supporting
121,358,Supporting
1353,238,Main
550,112,Main
2963,247,Cameo
2821,429,Supporting
1430,118,Supporting
2432,261,Main
1629,268,Main
2370,554,Cameo
1775,519,Main
2288,224,Main
1556,162,Main
95,231,Supporting
2211,345,Supporting
1092,488,Main
491,340,Main
1316,178,Main
2168,200,Main
581,219,Death
114,549,Main
2595,474,Main
1631,18,Death
1972,441,Main
1132,132,Flashback
1265,265,Main
1615,556,Supporting
2980,62,Cameo
633,496,Supporting
2437,583,Supporting
2331,301,Supporting
2513,285,Cameo
2579,57,Cameo
494,529,Supporting
2136,592,Cameo
1578,435,Main
2360,234,Cameo
2889,391,Main
231,519,Supporting
1507,420,Flashback
159,32,Cameo
733,597,Main
2884,503,Main
1223,197,Main
1536,218,Main
1946,399,Main
2454,535,Main
1948,249,Cameo
2977,566,Cameo
508,367,Main
2401,543,Main
2862,251,Death
2016,456,Main
430,356,Cameo
1759,201,Supporting
893,310,Supporting
2944,126,Supporting
360,182,Supporting
731,594,Main
824,590,Main
597,56,Cameo
1060,514,Main
1375,369,Supporting
680,59,Main
1288,140,Main
323,142,Supporting
2580,563,Main
1524,37,Supporting
2338,397,Main
2101,242,Cameo
2133,541,Flashback
2160,10,Main
1884,242,Cameo
813,543,Main
2077,495,Supporting
2526,82,Supporting
1812,155,Main
1385,187,Supporting
2204,109,Main
393,195,Main
2481,174,Supporting
402,26,Main
861,593,Cameo
1853,17,Main
275,213,Main
2847,380,Main
844,543,Supporting
2068,249,Main
2500,453,Supporting
2961,118,Main
1899,330,Main
2516,559,Cameo
474,78,Cameo
57,573,Main
1788,10,Supporting
2235,584,Supporting
2682,111,Supporting
637,521,Main
1981,101,Main
2261,304,Flashback
440,93,Main
2588,291,Main
2810,207,Main
1394,435,Cameo
225,63,Cameo
1882,41,Main
834,18,Supporting
551,504,Main
340,566,Main
2118,421,Supporting
816,61,Main
2026,433,Main
219,260,Supporting
597,492,Supporting
1519,252,Main
1522,412,Supporting
1707,564,Main
2818,60,Supporting
2474,148,Supporting
78,315,Main
2528,383,Supporting
2756,224,Main
920,350,Main
881,455,Main
161,35,Main
2128,321,Main
855,569,Cameo
1148,450,Cameo
330,7,Flashback
2115,506,Main
305,480,Main
1835,153,Main
323,60,Death
493,32,Supporting
1448,592,Main
2714,107,Main
447,170,Main
2045,229,Main
2228,80,Main
1184,513,Main
87,348,Main
1895,172,Flashback
1354,449,Cameo
1871,177,Main
2477,326,Supporting
1268,249,Death
461,167,Flashback
779,359,Supporting
2231,151,Main
1222,539,Cameo
585,538,Death
30,522,Main
1560,173,Supporting
865,395,Main
2360,85,Main
432,256,Flashback
1389,3,Main
2185,352,Death
1301,181,Main
1602,527,Death
2833,53,Supporting
165,402,Supporting
847,359,Cameo
1965,146,Cameo
2063,563,Main
1415,313,Main
1917,177,Flashback
729,99,Main
343,410,Death
950,114,Supporting
2542,343,Death
2634,562,Death
248,421,Supporting
306,79,Cameo
1751,35,Cameo
2578,56,Cameo
259,173,Main
436,141,Main
1262,503,Cameo
969,537,Main
1276,528,Cameo
1169,519,Supporting
2846,233,Cameo
1675,585,Death
64,132,Main
190,577,Main
1531,479,Supporting
2302,94,Main
2854,274,Main
435,312,Cameo
1298,482,Main
2476,384,Main
502,63,Cameo
1653,5,Main
2197,580,Main
490,114,Main
1222,298,Supporting
1991,423,Supporting
447,293,Supporting
1089,205,Main
1423,64,Main
1702,513,Main
2471,314,Cameo
2710,380,Main
1289,264,Supporting
1485,173,Main
1517,525,Supporting
515,597,Cameo
1496,4,Main
1495,151,Main
407,4,Supporting
2633,90,Main
43,578,Main
2530,200,Main
1633,172,Supporting
654,376,Supporting
1207,567,Main
1125,380,Supporting
2427,325,Main
1768,213,Main
1535,344,Supporting
197,159,Main
125,473,Death
2438,388,Supporting
2207,162,Supporting
1552,82,Supporting
561,525,Main
102,276,Main
524,55,Supporting
1254,225,Cameo
472,11,Death
957,18,Main
2716,201,Main
452,72,Main
1594,248,Main
2206,566,Main
1223,418,Main
2174,415,Main
1130,525,Main
1457,246,Death
354,188,Main
336,15,Main
2863,411,Main
1298,430,Supporting
1097,244,Main
2874,311,Supporting
1043,264,Supporting
2712,390,Cameo
1067,310,Main
271,78,Main
1815,15,Supporting
2610,46,Flashback
856,39,Main
1679,92,Cameo
385,569,Main
136,264,Main
1252,284,Death
1072,411,Main
2364,573,Supporting
578,530,Main
269,316,Supporting
2580,497,Supporting
2853,347,Supporting
2630,225,Main
254,341,Death
1103,113,Main
429,524,Supporting
656,455,Death
157,2,Main
2763,580,Cameo
650,106,Main
2501,26,Supporting
61,334,Death
2898,427,Flashback
1981,293,Cameo
2570,127,Cameo
1826,551,Supporting
226,207,Supporting
960,34,Cameo
2427,241,Main
2626,524,Main
881,2,Supporting
557,92,Main
2502,600,Supporting
1161,331,Cameo
287,552,Main
1044,117,Main
2441,28,Main
1591,581,Main
2908,557,Cameo
1364,218,Main
315,59,Main
116,480,Flashback
2412,387,Main
27,190,Main
2167,126,Cameo
1945,108,Main
994,162,Main
2680,335,Supporting
2636,507,Supporting
291,62,Cameo
528,515,Supporting
257,420,Cameo
2827,565,Cameo
958,76,Flashback
1457,381,Main
1300,426,Main
2884,497,Supporting
2500,3,Main
1232,126,Death
1735,390,Supporting
384,89,Death
850,296,Main
2615,325,Main
1246,143,Main
2465,422,Supporting
2400,442,Supporting
1828,422,Supporting
2521,585,Cameo
209,479,Supporting
2062,122,Main
49,268,Main
999,508,Supporting
2905,435,Main
171,298,Death
1971,44,Main
963,313,Main
977,72,Cameo
298,379,Main
2612,493,Main
2207,228,Main
2816,484,Supporting
2509,21,Supporting
1027,355,Main
2802,297,Death
624,26,Main
807,46,Main
526,202,Supporting
2618,256,Supporting
1112,53,Main
1848,84,Main
813,574,Main
1032,498,Main
1913,566,Main
456,400,Death
2916,321,Flashback
2880,492,Main
1515,88,Main
1179,581,Main
2754,395,Main
1834,446,Main
1987,93,Main
858,297,Supporting
1659,576,Main
2159,335,Main
1867,350,Main
1346,502,Supporting
171,26,Main
2087,238,Main
2627,599,Main
976,415,Main
950,61,Main
2487,533,Supporting
2938,93,Supporting
2519,345,Supporting
2046,568,Flashback
2935,239,Main
1362,385,Cameo
941,269,Main
310,438,Cameo
317,57,Flashback
1573,355,Main
2680,97,Main
614,176,Main
630,202,Main
1390,524,Supporting
1125,396,Cameo
1358,154,Flashback
2959,310,Supporting
580,325,Main
2777,478,Supporting
313,198,Cameo
2053,384,Main
2061,411,Supporting
155,306,Cameo
1908,80,Supporting
564,83,Supporting
2187,7,Cameo
2036,402,Main
1485,261,Main
2126,9,Flashback
2582,438,Main
2132,452,Main
330,221,Main
281,151,Main
260,432,Main
1826,404,Supporting
982,415,Main
1826,187,Cameo
1360,561,Cameo
1565,557,Main
414,176,Main
2465,543,Main
1317,258,Cameo
1070,251,Main
2616,590,Main
1622,473,Death
1637,198,Cameo
1336,110,Main
374,45,Death
1077,230,Main
116,299,Main
367,35,Cameo
700,332,Supporting
1209,460,Main
2869,493,Main
360,477,Main
901,354,Supporting
277,520,Flashback
1691,595,Supporting
1939,154,Supporting
1938,88,Main
458,156,Main
1246,88,Supporting
2212,499,Supporting
824,246,Main
227,434,Main
2689,462,Cameo
285,248,Main
537,143,Main
631,133,Death
1818,445,Main
2007,468,Flashback
113,35,Main
706,547,Main
1411,351,Supporting
1855,187,Supporting
1110,560,Supporting
2444,564,Main
2886,118,Main
2092,586,Main
1008,372,Main
1509,142,Supporting
2632,407,Cameo
86,396,Main
1400,406,Main
854,141,Cameo
45,51,Supporting
2501,345,Death
2358,71,Main
2802,183,Main
1336,4,Cameo
1765,254,Death
1692,175,Main
2199,181,Cameo
663,337,Main
1001,522,Main
781,96,Main
1295,573,Main
2835,272,Main
250,586,Main
2145,280,Main
1767,161,Flashback
182,275,Cameo
768,316,Main
2047,600,Main
1835,197,Cameo
993,167,Cameo
361,111,Supporting
138,523,Flashback
2640,164,Supporting
910,556,Main
1127,220,Supporting
1407,470,Cameo
2491,47,Main
557,87,Supporting
1370,126,Death
1300,375,Main
1866,243,Supporting
1798,385,Main
1862,142,Cameo
1917,571,Cameo
2875,497,Supporting
2582,338,Flashback
2484,501,Main
1192,430,Main
2718,488,Cameo
146,358,Main
557,93,Main
561,339,Main
1515,524,Cameo
2711,224,Main
2136,173,Main
267,470,Cameo
2613,152,Main
2664,362,Supporting
1517,152,Main
1860,262,Main
2785,242,Flashback
1245,195,Main
540,166,Supporting
1825,175,Cameo
805,9,Main
2026,216,Main
126,309,Main
1182,10,Supporting
50,280,Main
1229,296,Main
758,174,Main
2971,137,Supporting
2022,158,Main
1131,249,Main
1916,459,Main
87,272,Cameo
2181,270,Main
2003,393,Death
597,566,Cameo
1379,377,Supporting
1259,571,Main
667,509,Main
1586,374,Main
2259,505,Main
2587,592,Main
436,244,Death
13,519,Cameo
2788,450,Main
1729,151,Main
2492,113,Main
873,111,Supporting
2751,271,Supporting
1133,396,Supporting
2379,330,Cameo
1636,393,Supporting
1368,412,Supporting
47,189,Supporting
2024,437,Supporting
1146,321,Main
974,62,Supporting
459,145,Main
925,300,Supporting
1366,493,Cameo
2690,317,Flashback
1223,77,Cameo
1184,306,Main
1313,284,Supporting
1310,229,Main
165,377,Main
1440,279,Supporting
338,339,Supporting
1259,278,Supporting
1397,13,Main
643,338,Main
2231,382,Supporting
2303,450,Death
2110,88,Main
2878,324,Main
2854,535,Supporting
1271,64,Cameo
1808,433,Supporting
482,381,Main
2271,31,Main
2992,517,Supporting
1745,591,Main
2720,14,Cameo
636,386,Cameo
2984,527,Main
1045,587,Main
2468,244,Main
2048,276,Death
1842,517,Main
1315,175,Main
261,380,Main
1296,416,Main
2611,306,Supporting
959,502,Main
2463,324,Cameo
2976,139,Main
847,35,Main
236,296,Main
1697,236,Supporting
2025,380,Supporting
2620,492,Supporting
750,586,Death
1254,400,Supporting
1485,521,Cameo
1400,469,Main
124,380,Main
1320,482,Main
2358,483,Main
807,168,Cameo
2765,85,Supporting
2562,110,Supporting
168,353,Main
1030,424,Supporting
707,595,Death
2878,548,Supporting
800,370,Supporting
1497,560,Cameo
207,455,Main
2232,141,Supporting
7,326,Main
557,409,Main
1141,283,Main
495,96,Main
936,516,Main
1578,158,Supporting
1074,256,Supporting
2831,422,Supporting
2959,316,Supporting
140,454,Main
982,310,Main
716,234,Main
1299,25,Main
2853,26,Main
