issue_id,series_id,issue_number,title,publish_date,cover_price,page_count,notes
70,211,704,Fracture of Stone,2003-04-09,0.15,28,Controversial issue banned in three states.
71,64,360,Legacy of Flynn,2019-03-24,0.25,36,Low distribution; considered scarce.
72,44,567,Shattered of Price,1969-04-06,1.25,24,Low distribution; considered scarce.
73,106,622,Resurgence of Stone,2004-10-21,2.5,40,Key first appearance issue.
74,123,396,Rising of Vale,2008-05-25,4.99,100,Landmark story milestone.
75,271,13,Inferno of Flynn,1953-12-26,0.25,48,Reprints classic story with new framing pages.
76,216,560,Convergence of Stark,1978-10-13,0.15,24,Reprints classic story with new framing pages.
77,35,269,Uprising of Drake,2007-01-29,0.12,48,Double-sized anniversary issue.
78,147,786,Legacy of Crane,1960-03-28,2.5,28,Double-sized anniversary issue.
79,276,157,Chaos of Voss,1982-10-26,1.25,28,Double-sized anniversary issue.
80,105,160,Descent of Flynn,2023-07-13,2.5,100,Landmark story milestone.
81,159,448,Revelation of Drake,1971-09-02,0.75,28,Direct edition only; no newsstand version.
82,60,627,Shattered of Drake,1965-01-31,1.25,32,Landmark story milestone.
83,7,719,Reckoning of Cross,1956-01-30,4.99,44,Double-sized anniversary issue.
84,265,739,Chaos of Cross,2014-03-30,1.95,32,Low distribution; considered scarce.
85,61,31,Eclipse of Crane,1995-04-21,1,80,Landmark story milestone.
86,135,643,Shadows of Stark,2023-06-20,3.99,80,Part of a crossover event.
87,29,581,Convergence of Nash,1949-10-20,0.35,40,Landmark story milestone.
88,294,741,Rising of Vale,2017-07-24,0.1,24,Key first appearance issue.
89,126,484,Inferno of Ward,1975-07-08,0.25,32,Key first appearance issue.
90,284,430,Revelation of Flynn,2017-11-02,0.75,48,Part of a crossover event.
91,139,586,Inferno of Kane,1993-06-30,0.12,32,High print run; common in collections.
92,265,411,Shadows of Fox,1948-02-13,1.25,40,Part of a crossover event.
93,45,468,Reckoning of Nash,2020-08-14,0.5,40,Reprints classic story with new framing pages.
94,156,638,Revelation of Fox,2011-05-09,1.95,100,Contains bonus pin-up gallery.
95,101,779,Revelation of Steele,2020-07-07,0.1,48,Key first appearance issue.
96,120,652,Reckoning of Flynn,1989-10-08,0.1,48,Low distribution; considered scarce.
97,54,543,Revelation of Crane,1999-03-16,4.99,24,Controversial issue banned in three states.
98,144,45,Revelation of Cole,1944-03-04,2.99,44,Contains bonus pin-up gallery.
99,44,98,Resurgence of Steele,1999-02-07,2.5,28,Reprints classic story with new framing pages.
100,291,446,Fallen of Vale,1955-10-18,1.25,40,Part of a crossover event.
101,202,326,Fracture of Holt,2018-10-31,0.75,28,High print run; common in collections.
102,70,112,Fallen of Kane,1973-03-24,0.35,64,Contains bonus pin-up gallery.
103,161,124,Descent of Nash,2015-06-21,0.5,64,Low distribution; considered scarce.
104,238,123,Shadows of Cross,1951-12-22,1.25,100,Key first appearance issue.
105,111,336,Fallen of Voss,1973-05-16,0.75,44,Direct edition only; no newsstand version.
106,263,694,Vendetta of Holt,1969-05-24,0.35,24,Direct edition only; no newsstand version.
107,232,767,Descent of Vale,1990-11-17,0.2,64,Landmark story milestone.
108,72,13,Dawn of Vale,1965-06-12,0.25,36,Direct edition only; no newsstand version.
109,191,597,Reborn of Holt,2005-10-08,0.15,24,Landmark story milestone.
110,102,455,Fallen of Voss,1972-03-30,1.5,28,Key first appearance issue.
111,237,173,Reborn of Crane,2019-04-14,2.5,64,Key first appearance issue.
112,196,177,Inferno of Stone,1959-07-28,0.35,40,Low distribution; considered scarce.
113,229,36,Shattered of Price,1977-05-02,0.75,40,Contains bonus pin-up gallery.
114,211,491,Dawn of Voss,1997-05-27,1,48,Controversial issue banned in three states.
115,215,659,Resurgence of Vale,1988-02-13,0.1,48,Part of a crossover event.
116,246,497,Inferno of Hunt,2007-06-05,1.5,48,Low distribution; considered scarce.
117,93,327,Shattered of Vale,2020-02-23,0.1,40,Key first appearance issue.
118,242,367,Reborn of Vale,2019-10-01,0.35,28,High print run; common in collections.
119,124,547,Dawn of Vale,1946-12-24,2.5,44,Controversial issue banned in three states.
120,91,607,Eclipse of Nash,2020-08-26,0.1,44,Reprints classic story with new framing pages.
121,289,577,Uprising of Stark,1993-03-10,1.25,32,Contains bonus pin-up gallery.
122,20,58,Revelation of Price,1942-01-18,0.75,24,Double-sized anniversary issue.
123,245,340,Shattered of Stone,1979-01-12,0.25,44,Controversial issue banned in three states.
124,166,23,Fallen of Hunt,1984-05-05,0.25,28,Double-sized anniversary issue.
125,187,383,Nemesis of Hunt,1963-08-18,0.2,44,Low distribution; considered scarce.
126,166,162,Legacy of Stark,1991-03-30,1.5,32,Double-sized anniversary issue.
127,183,682,Reborn of Cross,1948-01-03,2.5,40,Low distribution; considered scarce.
128,66,747,Reckoning of Hunt,1983-12-21,2.5,100,Key first appearance issue.
129,94,326,Shattered of Vale,2010-10-03,0.2,64,Controversial issue banned in three states.
130,170,244,Inferno of Flynn,1949-06-09,0.35,28,Part of a crossover event.
131,229,272,Uprising of Vale,1974-04-04,0.15,44,Low distribution; considered scarce.
132,56,2,Dawn of Ward,1962-01-15,3.99,48,Controversial issue banned in three states.
133,212,388,Inferno of Grant,1988-03-27,2.5,28,Contains bonus pin-up gallery.
134,296,167,Fracture of Voss,2020-07-12,0.12,40,Key first appearance issue.
135,164,108,Shadows of Flynn,2004-11-09,0.35,48,Controversial issue banned in three states.
136,39,347,Shattered of Price,1986-05-09,4.99,24,Direct edition only; no newsstand version.
137,85,445,Convergence of Drake,2023-03-30,0.2,44,High print run; common in collections.
138,98,714,Descent of Grant,2018-03-07,1,40,Low distribution; considered scarce.
139,122,51,Nemesis of Hunt,1952-08-08,4.99,32,Key first appearance issue.
140,185,438,Shadows of Burns,1993-01-16,4.99,36,Landmark story milestone.
141,14,175,Vendetta of Voss,1992-08-22,4.99,28,Low distribution; considered scarce.
142,204,501,Chaos of Voss,1995-07-25,2.5,32,Part of a crossover event.
143,196,192,Fracture of Drake,1958-04-15,1,64,Contains bonus pin-up gallery.
144,135,276,Reborn of Drake,2019-07-16,0.25,28,Landmark story milestone.
145,177,555,Legacy of Hunt,2021-04-03,0.75,80,Key first appearance issue.
146,199,429,Descent of Stark,1960-09-20,0.75,64,Low distribution; considered scarce.
147,41,732,Dawn of Cole,2006-09-17,0.25,28,Contains bonus pin-up gallery.
148,89,217,Uprising of Steele,2015-12-09,0.12,48,Landmark story milestone.
149,223,643,Fallen of Price,1965-07-13,1,44,Landmark story milestone.
150,45,570,Nemesis of Grant,2005-10-26,1.5,40,Double-sized anniversary issue.
151,235,13,Shattered of Hunt,2024-07-27,2.99,28,Direct edition only; no newsstand version.
152,77,581,Reborn of Hunt,2010-04-29,0.2,28,Reprints classic story with new framing pages.
153,52,549,Inferno of Crane,2014-06-01,1,48,Contains bonus pin-up gallery.
154,293,39,Convergence of Holt,2017-04-21,2.5,32,Reprints classic story with new framing pages.
155,206,406,Eclipse of Vale,1985-03-21,0.12,64,Low distribution; considered scarce.
156,191,346,Vendetta of Burns,2002-11-28,1,64,Landmark story milestone.
157,117,308,Fracture of Flynn,2015-07-05,1,48,Reprints classic story with new framing pages.
158,46,453,Uprising of Crane,1962-03-20,4.99,80,Part of a crossover event.
159,29,163,Shadows of Burns,1949-11-21,2.5,32,Double-sized anniversary issue.
160,292,178,Uprising of Stone,1991-04-20,0.12,36,Key first appearance issue.
161,234,370,Uprising of Holt,1990-04-14,1.95,64,Double-sized anniversary issue.
162,204,127,Reckoning of Vale,1999-04-03,1.95,64,Reprints classic story with new framing pages.
163,229,486,Reborn of Grant,1977-12-25,1.95,44,Controversial issue banned in three states.
164,133,292,Reckoning of Ward,2002-01-06,0.12,32,Reprints classic story with new framing pages.
165,110,663,Revelation of Stone,2015-06-26,1,48,Double-sized anniversary issue.
166,11,486,Fallen of Cross,2006-02-06,0.1,36,Low distribution; considered scarce.
167,157,727,Chaos of Crane,2021-12-30,2.5,44,Contains bonus pin-up gallery.
168,130,478,Vendetta of Cole,2010-11-23,2.5,100,Landmark story milestone.
169,4,679,Inferno of Grant,1974-06-08,1.25,40,Landmark story milestone.
170,247,345,Chaos of Flynn,1957-11-11,1,40,Low distribution; considered scarce.
171,97,530,Revelation of Drake,1964-05-13,2.5,44,Controversial issue banned in three states.
172,14,510,Vendetta of Holt,2002-09-13,2.99,48,Direct edition only; no newsstand version.
173,19,352,Revelation of Grant,1976-04-04,4.99,44,Double-sized anniversary issue.
174,154,674,Descent of Cross,1998-08-17,1.25,28,Contains bonus pin-up gallery.
175,66,743,Descent of Cross,1987-08-08,1.5,28,High print run; common in collections.
176,182,763,Vendetta of Crane,1973-01-14,1.5,44,Low distribution; considered scarce.
177,300,475,Rising of Stark,2020-10-28,0.12,100,Reprints classic story with new framing pages.
178,37,200,Resurgence of Kane,1992-03-07,2.5,80,Low distribution; considered scarce.
179,212,155,Fallen of Stone,1948-11-06,1.5,48,Reprints classic story with new framing pages.
180,235,324,Convergence of Voss,2007-03-19,4.99,44,Controversial issue banned in three states.
181,161,5,Fracture of Holt,1984-03-15,0.5,32,Reprints classic story with new framing pages.
182,82,782,Shadows of Steele,1984-12-03,2.99,48,Direct edition only; no newsstand version.
183,220,393,Reckoning of Drake,1998-09-15,0.5,44,Key first appearance issue.
184,165,196,Reckoning of Morgan,1981-12-23,0.75,36,Part of a crossover event.
185,160,106,Nemesis of Cole,1952-05-12,1.25,32,Landmark story milestone.
186,24,298,Fracture of Cole,1969-09-02,1.5,48,Controversial issue banned in three states.
187,176,368,Uprising of Cross,2012-09-30,2.5,24,High print run; common in collections.
188,115,135,Uprising of Morgan,2012-03-27,0.35,28,Part of a crossover event.
189,20,656,Chaos of Grant,1954-10-31,0.12,100,Key first appearance issue.
190,56,21,Dawn of Kane,1961-08-31,2.99,64,Direct edition only; no newsstand version.
191,64,486,Fallen of Stone,2013-05-03,0.1,40,Direct edition only; no newsstand version.
192,52,533,Chaos of Price,2022-11-10,0.25,48,Landmark story milestone.
193,262,633,Rising of Burns,2007-06-26,0.2,28,Contains bonus pin-up gallery.
194,102,205,Chaos of Cole,1971-10-31,0.5,44,Direct edition only; no newsstand version.
195,152,41,Descent of Stark,1969-05-22,0.5,64,Part of a crossover event.
196,121,14,Shadows of Kane,1989-02-14,4.99,32,Landmark story milestone.
197,262,741,Rising of Holt,1949-09-25,0.75,64,Low distribution; considered scarce.
198,136,52,Rising of Cross,2020-08-08,0.12,40,Part of a crossover event.
199,161,757,Rising of Kane,2017-03-21,0.12,24,Controversial issue banned in three states.
200,88,367,Fracture of Price,2005-05-16,1,28,Part of a crossover event.
201,176,117,Nemesis of Ward,2011-01-10,3.99,40,Direct edition only; no newsstand version.
202,245,665,Convergence of Kane,1997-12-01,0.25,24,Controversial issue banned in three states.
203,54,605,Oblivion of Hunt,2008-08-30,3.99,32,Reprints classic story with new framing pages.
204,195,627,Reckoning of Steele,2006-03-04,4.99,64,Landmark story milestone.
205,211,48,Shadows of Holt,1987-07-15,1.5,24,Double-sized anniversary issue.
206,296,230,Eclipse of Cole,2024-05-03,0.2,48,High print run; common in collections.
207,247,680,Nemesis of Steele,1970-07-05,0.12,24,Controversial issue banned in three states.
208,259,508,Convergence of Voss,2017-07-11,4.99,44,High print run; common in collections.
209,170,52,Resurgence of Vale,1950-07-24,2.5,48,High print run; common in collections.
210,41,455,Reborn of Fox,2009-08-05,0.15,64,Contains bonus pin-up gallery.
211,162,510,Reckoning of Kane,1954-08-30,2.5,48,Key first appearance issue.
212,286,94,Shattered of Price,2011-01-02,1.25,80,Double-sized anniversary issue.
213,106,350,Inferno of Drake,2004-02-12,0.75,64,Part of a crossover event.
214,287,635,Shattered of Stark,1962-03-19,1.95,64,Landmark story milestone.
215,50,675,Revelation of Morgan,2006-02-14,1.5,44,Low distribution; considered scarce.
216,281,383,Rising of Drake,2017-09-16,0.35,64,Controversial issue banned in three states.
217,210,261,Shattered of Stone,1951-08-06,0.5,28,Direct edition only; no newsstand version.
218,111,196,Eclipse of Kane,1969-02-15,2.99,24,Reprints classic story with new framing pages.
219,64,469,Reborn of Cole,2022-03-18,0.25,64,Key first appearance issue.
220,272,50,Descent of Crane,2020-01-10,4.99,80,Controversial issue banned in three states.
221,297,749,Fallen of Kane,1941-12-12,2.5,100,Reprints classic story with new framing pages.
222,165,394,Legacy of Price,1981-10-29,0.75,40,Direct edition only; no newsstand version.
223,176,464,Fallen of Steele,2011-08-26,2.99,100,Double-sized anniversary issue.
224,154,322,Descent of Stone,2015-07-29,0.5,36,Reprints classic story with new framing pages.
225,149,354,Fallen of Cross,2014-10-19,1.5,28,Part of a crossover event.
226,288,597,Reborn of Crane,2011-07-20,1.25,48,Key first appearance issue.
227,268,26,Nemesis of Steele,1989-03-12,0.12,24,High print run; common in collections.
228,137,165,Vendetta of Holt,1953-03-17,0.25,24,Low distribution; considered scarce.
229,105,555,Dawn of Nash,2023-03-24,3.99,28,Reprints classic story with new framing pages.
230,288,761,Descent of Ward,2000-01-24,0.75,80,Low distribution; considered scarce.
231,25,397,Legacy of Flynn,1988-03-26,0.12,24,Low distribution; considered scarce.
232,104,800,Fracture of Vale,2019-12-02,1.95,100,Double-sized anniversary issue.
233,101,302,Fracture of Cross,2004-09-05,0.15,32,Controversial issue banned in three states.
234,264,387,Dawn of Crane,2015-09-05,1,80,Low distribution; considered scarce.
235,67,599,Chaos of Morgan,2013-10-21,1.5,64,Controversial issue banned in three states.
236,21,331,Shattered of Drake,2019-09-22,1.25,64,Reprints classic story with new framing pages.
237,282,75,Eclipse of Cole,1992-01-23,0.75,32,Double-sized anniversary issue.
238,35,164,Legacy of Grant,2009-10-31,2.5,28,Part of a crossover event.
239,114,680,Eclipse of Flynn,1967-10-14,1.95,40,High print run; common in collections.
240,272,575,Reckoning of Kane,2008-04-20,1.95,64,High print run; common in collections.
241,125,699,Eclipse of Ward,1967-10-16,0.2,48,Low distribution; considered scarce.
242,277,26,Resurgence of Nash,1966-03-04,3.99,64,Key first appearance issue.
243,152,198,Eclipse of Cole,2013-06-14,0.15,28,Controversial issue banned in three states.
244,276,8,Shadows of Stone,1980-12-17,0.5,48,Landmark story milestone.
245,106,720,Legacy of Voss,2005-01-11,0.25,24,Contains bonus pin-up gallery.
246,170,90,Shadows of Drake,1949-03-19,0.35,40,Double-sized anniversary issue.
247,37,234,Chaos of Crane,1996-10-16,2.5,64,Direct edition only; no newsstand version.
248,222,18,Nemesis of Kane,2003-03-12,0.1,100,Landmark story milestone.
249,300,718,Shadows of Nash,2020-02-16,0.2,40,Low distribution; considered scarce.
250,45,784,Fracture of Ward,1996-04-03,2.5,24,Contains bonus pin-up gallery.
251,81,226,Fallen of Ward,2012-12-25,1.25,32,Low distribution; considered scarce.
252,192,567,Descent of Steele,1987-04-02,0.2,24,Key first appearance issue.
253,294,404,Descent of Grant,2016-09-09,0.15,40,High print run; common in collections.
254,177,423,Resurgence of Steele,1994-07-02,0.35,32,High print run; common in collections.
255,130,118,Convergence of Hunt,2010-05-11,0.12,80,Contains bonus pin-up gallery.
256,282,298,Shadows of Holt,1979-04-13,0.2,36,Reprints classic story with new framing pages.
257,250,366,Fallen of Vale,1987-09-17,0.2,40,Reprints classic story with new framing pages.
258,36,326,Oblivion of Fox,1973-09-06,1.5,100,Low distribution; considered scarce.
259,300,580,Reborn of Nash,2020-06-05,1.5,48,Controversial issue banned in three states.
260,3,253,Revelation of Crane,1955-01-19,1,44,Controversial issue banned in three states.
261,170,474,Fracture of Nash,1951-09-10,1.25,64,Double-sized anniversary issue.
262,56,662,Shattered of Voss,1958-12-26,1,32,Double-sized anniversary issue.
263,101,752,Shadows of Voss,2007-10-22,0.1,80,Key first appearance issue.
264,298,415,Reborn of Stone,1956-06-29,0.12,80,Low distribution; considered scarce.
265,279,484,Fallen of Nash,1966-02-08,2.5,36,Reprints classic story with new framing pages.
266,149,476,Resurgence of Cole,1990-01-02,0.15,48,Part of a crossover event.
267,258,679,Revelation of Price,1979-03-28,0.35,80,Controversial issue banned in three states.
268,229,184,Reborn of Hunt,1977-07-28,0.25,64,Part of a crossover event.
269,21,780,Oblivion of Vale,2020-06-15,0.15,40,Part of a crossover event.
270,120,685,Uprising of Cole,1982-12-17,1.95,48,Contains bonus pin-up gallery.
271,233,41,Eclipse of Kane,2016-04-05,1,40,Reprints classic story with new framing pages.
272,279,179,Nemesis of Ward,1966-10-15,1.95,100,Landmark story milestone.
273,265,386,Revelation of Cole,1966-07-27,2.5,44,Part of a crossover event.
274,250,619,Reckoning of Cole,1989-05-28,0.25,64,Controversial issue banned in three states.
275,118,527,Chaos of Stone,1970-06-17,0.25,32,Controversial issue banned in three states.
276,186,677,Revelation of Crane,1993-04-22,1.5,28,Contains bonus pin-up gallery.
277,246,216,Reborn of Cross,2004-06-27,2.99,24,High print run; common in collections.
278,23,588,Reborn of Cross,1951-06-22,0.25,80,Key first appearance issue.
279,294,58,Convergence of Holt,2011-08-25,0.35,80,Direct edition only; no newsstand version.
280,289,20,Vendetta of Voss,2004-04-20,0.5,64,Reprints classic story with new framing pages.
281,242,175,Revelation of Crane,2017-08-09,0.25,100,Controversial issue banned in three states.
282,262,172,Eclipse of Fox,1966-09-24,0.15,36,Direct edition only; no newsstand version.
283,198,112,Reckoning of Stone,1959-11-11,2.99,32,Reprints classic story with new framing pages.
284,50,488,Shattered of Price,1953-12-01,0.12,80,Double-sized anniversary issue.
285,61,494,Fallen of Price,1980-02-03,0.1,48,Double-sized anniversary issue.
286,216,45,Resurgence of Crane,1979-03-25,0.75,64,Direct edition only; no newsstand version.
287,180,436,Fallen of Holt,1985-10-07,4.99,36,Landmark story milestone.
288,146,557,Legacy of Holt,2021-05-10,0.5,24,Key first appearance issue.
289,296,121,Resurgence of Morgan,2023-11-11,2.5,36,Part of a crossover event.
290,210,110,Fallen of Crane,1974-07-02,1,40,Double-sized anniversary issue.
291,217,375,Shattered of Holt,1993-08-29,2.5,36,Direct edition only; no newsstand version.
292,283,184,Inferno of Grant,1974-05-31,4.99,40,Low distribution; considered scarce.
293,296,793,Nemesis of Steele,2021-11-11,0.2,36,Contains bonus pin-up gallery.
294,83,220,Resurgence of Ward,2017-07-25,1.5,80,Reprints classic story with new framing pages.
295,27,399,Reckoning of Voss,1988-08-09,0.25,64,Reprints classic story with new framing pages.
296,223,66,Chaos of Vale,1962-12-24,1.95,28,Reprints classic story with new framing pages.
297,20,411,Shattered of Cole,1955-03-29,1.25,100,Key first appearance issue.
298,90,507,Fracture of Morgan,2005-09-21,0.5,80,Low distribution; considered scarce.
299,100,614,Resurgence of Cole,1985-10-03,0.75,100,Controversial issue banned in three states.
300,19,245,Reckoning of Cross,1980-01-25,0.15,40,Direct edition only; no newsstand version.
301,181,416,Reborn of Stone,1993-09-22,0.1,28,Landmark story milestone.
302,282,744,Descent of Hunt,1988-10-05,1.95,44,Low distribution; considered scarce.
303,116,200,Fracture of Ward,1959-10-20,0.1,40,Controversial issue banned in three states.
304,209,110,Descent of Voss,2011-06-02,1.25,44,Landmark story milestone.
305,263,551,Reborn of Holt,1988-02-14,3.99,48,Reprints classic story with new framing pages.
306,248,776,Eclipse of Fox,2012-09-23,3.99,100,Key first appearance issue.
307,247,265,Shadows of Ward,1960-03-19,0.75,36,Part of a crossover event.
308,212,529,Descent of Morgan,1975-09-05,1,36,Low distribution; considered scarce.
309,48,690,Eclipse of Voss,1991-11-24,0.35,64,Part of a crossover event.
310,182,588,Chaos of Cross,1972-08-10,0.5,64,High print run; common in collections.
311,121,272,Uprising of Vale,1999-11-10,0.5,36,Reprints classic story with new framing pages.
312,183,798,Rising of Kane,1946-07-01,0.15,64,Reprints classic story with new framing pages.
313,4,44,Oblivion of Nash,1974-07-09,1.5,64,Reprints classic story with new framing pages.
314,141,188,Resurgence of Holt,1992-01-07,2.5,36,Reprints classic story with new framing pages.
315,66,539,Legacy of Stark,1978-06-06,0.12,80,Part of a crossover event.
316,202,469,Rising of Cole,2017-12-24,3.99,44,Key first appearance issue.
317,7,389,Reborn of Kane,1957-09-23,1.5,44,Reprints classic story with new framing pages.
318,133,562,Chaos of Vale,2003-02-06,1,64,Reprints classic story with new framing pages.
319,176,189,Oblivion of Crane,2012-01-20,0.5,48,Part of a crossover event.
320,187,287,Fracture of Cross,1970-12-26,0.25,100,High print run; common in collections.
321,52,277,Revelation of Grant,2024-03-01,2.99,48,High print run; common in collections.
322,75,485,Reckoning of Cross,1977-09-16,2.99,64,Controversial issue banned in three states.
323,265,738,Eclipse of Stark,1991-11-27,1.25,40,Double-sized anniversary issue.
324,291,408,Rising of Cross,1955-02-21,0.12,36,Low distribution; considered scarce.
325,244,461,Eclipse of Holt,2001-04-27,1.95,44,Double-sized anniversary issue.
326,286,353,Reckoning of Crane,2016-10-12,0.2,44,Reprints classic story with new framing pages.
327,102,590,Descent of Cross,1971-06-21,1.25,44,Part of a crossover event.
328,262,794,Fracture of Voss,1986-09-26,2.5,100,Low distribution; considered scarce.
329,238,172,Eclipse of Crane,1950-08-17,2.5,28,Landmark story milestone.
330,83,234,Eclipse of Flynn,2018-12-05,1.25,40,Reprints classic story with new framing pages.
331,203,456,Inferno of Hunt,2006-03-03,3.99,48,Controversial issue banned in three states.
332,95,129,Revelation of Holt,1974-01-26,0.15,36,Controversial issue banned in three states.
333,204,98,Shadows of Stark,1987-04-24,0.12,24,Direct edition only; no newsstand version.
334,269,86,Rising of Holt,2013-02-26,0.25,28,Direct edition only; no newsstand version.
335,159,254,Vendetta of Fox,1961-02-21,0.25,32,Double-sized anniversary issue.
336,88,36,Inferno of Flynn,1998-08-23,4.99,64,Double-sized anniversary issue.
337,140,456,Fallen of Grant,1992-02-25,0.35,100,Reprints classic story with new framing pages.
338,234,767,Reborn of Crane,1993-07-16,1.25,44,Contains bonus pin-up gallery.
339,277,92,Fracture of Burns,1965-07-19,1.95,48,Low distribution; considered scarce.
340,80,11,Reckoning of Cole,2012-08-13,0.25,44,Low distribution; considered scarce.
341,241,9,Oblivion of Stark,2024-01-01,1.25,24,Direct edition only; no newsstand version.
342,150,237,Reckoning of Grant,2022-10-12,1.95,36,Direct edition only; no newsstand version.
